username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
-Midorihana-,693.0,Education,Robotics,Philosophy,Society,"['ʻIolani School', 57]","['Botball', 37]","['What Is Your Dangerous Idea?', 32]","['FIRST Lego League Challenge', 27]","['What We Believe but Cannot Prove', 13]","['God', 13]","['Intelligent Thought', 10]","['FIRST Championship', 9]","['Pearl Harbor Elementary School', 8]","['Taylor Takata', 8]"
-Ril-,642.0,Religion,History,Culture,Mythology,"['Lists of stars by constellation', 199]","['Horus', 133]","['Hathor', 102]","['Ancient Egyptian religion', 85]","['Amun', 77]","['Osiris', 73]","['Index of Egyptian mythology articles', 59]","['Isis', 57]","['Authentic Matthew', 52]","['Anubis', 46]"
-asx-,541.0,Politics,History,Law,Media,"['Bounce Your Boobies', 15]","[""Bill O'Reilly (political commentator)"", 13]","['Ron Ziegler', 12]","['Mallard Fillmore', 11]","['Karl Rove', 11]","['Al Franken', 9]","['Thomas Hobson (postal carrier)', 9]","['John Roberts', 8]","['Dow Chemical Company', 8]","['Efforts to impeach George W. Bush', 7]"
-jha-,108.0,Entities,,,,"['Opel Zoo', 2]",,,,,,,,,
.,,Ajvol:.: History,Government,Economy,Society,,,,,,,,,,
.:Ajvol:.,601.0,,,,,"['Ulyanovskaya Mine disaster', 14]","['German Instrument of Surrender', 13]","['Peter the Great', 11]","['Kasimov', 8]","['Russian ruble', 6]","['Russian cosmism', 6]","['Garry Kasparov', 6]","[""Kievan Rus'"", 6]","['Soviet Union', 6]","['Lists of cities in the State of Palestine', 5]"
.V.,554.0,Conspiracy theories,Science,Philosophy,Religion,"['Holocaust denial', 22]","['Evidence and documentation for the Holocaust', 13]","['Zionist Occupation Government conspiracy theory', 13]","['Institute for Historical Review', 11]","['Commodity computing', 8]","['List of people claimed to be Jesus', 7]","['Fetal trimethadione syndrome', 6]","['New World Order conspiracy theory', 5]","['Narrow tailoring', 4]","['Clonaid', 4]"
.mdk.,631.0,Sports,Entertainment,People,Society,"['Triple H', 466]","['Edge (wrestler)', 433]","['Shawn Michaels', 371]","['The Undertaker', 343]","['Kane (wrestler)', 312]","['Rob Van Dam', 244]","['John Cena', 238]","['Jeff Hardy', 218]","['D-Generation X', 206]","['Bobby Lashley', 175]"
.snoopy.,508.0,Sports,Entertainment,People,Culture,"['2006–07 Serie A', 4]","['Santiago Solari', 3]","['Enzo Biagi', 3]","['Inter Milan', 3]","['2004–05 Coppa Italia', 3]","['Datura (band)', 2]","['Wedding Album', 2]","['Milk and Honey (album)', 2]","['Marco Materazzi', 2]","['Italian Wikipedia', 2]"
068152,323.0,Military,Education,Business,Technology,"['Military', 8]","['Balderdash', 2]","['Erhard Seminars Training', 2]","['Bill Nye', 2]","['Madden NFL 2008', 1]","['List of incidents at Disney parks', 1]","['Hinsdale South High School', 1]","['Halifax Panthers', 1]","['Altaf Hussain (Pakistani politician)', 1]","['Oxford University Student Union', 1]"
069952497a,864.0,Geography,Economics,Literature,Arts,"['West Triangle Economic Zone', 62]","['2010 Guatemala City sinkhole', 35]","['Yves Gaucher', 29]","['Pavel Zhigarev', 24]","['Ontario Mathematics Olympiad', 23]","['The Second World War (book)', 23]","['Tan Shaowen', 20]","['Pavel Rychagov', 20]","['Sangrampur, Magrahat', 20]","['Felicia Mabuza-Suttle', 19]"
0pen$0urce,561.0,Health,Entertainment,Business,Science,"['Certified Guaranty Company', 38]","['Monsters HD', 22]","['American Medical Association', 19]","['The Elder Scrolls V: Skyrim', 17]","['Dinosaur Bar-B-Que', 16]","['Nathan Phillips (activist)', 13]","['University of Arizona', 12]","['American Horror Story', 11]","['Owen Benjamin', 11]","['Diablo III', 11]"
10014derek,439.0,Chemistry,Geography,Technology,Food and drink,"['Elements, Hong Kong', 36]","['IGoogle', 18]","['German Swiss International School', 14]","['IPod Nano', 6]","['Kowloon station (MTR)', 6]","['Union Square, Hong Kong', 5]","['D', 5]","['Vitamin', 4]","['Australian Islamic College', 4]","['Yogurt', 4]"
1234r00t,649.0,Natural disasters,Politics,People,History,"['2010 Bolivia forest fires', 13]","['Bill Thomas (American writer, born 1943)', 10]","['Loma Bonita', 7]","['Politics of the United States', 7]","['Kelly Pavlik vs. Bernard Hopkins', 6]","['Dorothy Grant', 6]","['Qualters Middle School', 6]","['George Washington', 6]","['Stephen Colbert', 5]","['Asunción Cacalotepec', 5]"
123Hedgehog456,577.0,Entertainment,Health,Geography,Nature,"['Bretforton', 17]","['Twist and Pulse', 5]","['James Veitch (comedian)', 4]","['Dakota Fanning', 4]","['Density of air', 3]","['Child abuse', 3]","['Melon', 3]","['Scooby-Doo', 3]","['Adam Bell', 3]","['Shooting', 3]"
125.162.150.88,207.0,History,Military,Law,People,"['Ted Bundy', 45]","['Erwin Rommel', 24]","['Battle in Berlin', 19]","['Accipitridae', 16]","['White-bellied sea eagle', 13]","['Raising a Flag over the Reichstag', 12]","['Battle of Berlin', 11]","['Chelsea Kane', 11]","['D. B. Cooper', 10]","['John Wayne Gacy', 7]"
128.83.101.111,0.0,,,,,,,,,,,,,,
129.177.19.120,0.0,,,,,,,,,,,,,,
131.211.210.14,30.0,Business,Entertainment,Geography,Economy,"['Tine (company)', 2]","['Jack Montgomery (actor)', 2]","['Peter Minuit', 2]","['Jean-Claude Van Damme', 2]","['Mount Etna', 1]","['Tine', 1]","['Vislor Turlough', 1]","['Rome', 1]","['Unemployment', 1]","['Penn & Teller', 1]"
131.211.210.157,34.0,Sports,Culture,Food and drink,Media,"['Formula One', 3]","['Lighthouse Hill, Staten Island', 2]","['D&D Adventurers League', 1]","['Cooking utensil', 1]","['Simon Lovell', 1]","['Arabella Figg', 1]","['Audio commentary', 1]","[""Angela's Ashes"", 1]","['Simon Thomas (presenter)', 1]","['Simon Thomas (politician)', 1]"
1362,102.0,,,,,,,,,,,,,,
154.20.253.177,0.0,,,,,,,,,,,,,,
156.34.142.110,423.0,Music,History,Other,,"['Led Zeppelin', 112]","['List of Gibson players', 105]","['Metallica', 96]","['Iron Maiden', 77]","['AC/DC', 62]","['Ozzy Osbourne', 53]","['Def Leppard', 50]","['Black Sabbath', 48]","['Jimmy Page', 48]","['The Rolling Stones', 44]"
1568,102.0,,,,,,,,,,,,,,
172,842.0,Politics,History,Economics,Society,"['Saddam Hussein', 678]","['History of the Russian Federation', 379]","['Communism', 306]","['New Imperialism', 269]","['Cold War', 265]","['Origins of the American Civil War', 239]","['History of Russia', 233]","['Capitalism', 204]","['Joseph Stalin', 203]","['Cold War (1953–1962)', 188]"
172.144.137.135,0.0,,,,,,,,,,,,,,
172.162.10.219,0.0,,,,,,,,,,,,,,
17Drew,730.0,Music,Culture,Business,Communication,"['Gwen Stefani', 481]","['No Doubt', 294]","['4 in the Morning', 250]","['Love. Angel. Music. Baby.', 245]","['The Sweet Escape (song)', 241]","['Gwen Stefani discography', 229]","['Hollaback Girl', 207]","['Beautiful Liar', 193]","['Hey Ya!', 189]","['What You Waiting For?', 181]"
194.6.242.2,10.0,Culture,Arts,Geography,,"['José Pasillas', 3]","['Primorske novice', 2]","['Milwaukee Symphony Orchestra', 1]",,,,,,,
1948remembered,296.0,History,Society,,,"['1948 Palestinian expulsion and flight', 19]","['Palestinian return to Israel', 3]",,,,,,,,
1966batfan,109.0,Sports,People,,,"['Jacob deGrom', 1]","['Hideki Matsui', 1]",,,,,,,,
198,486.0,Politics,History,Health,Human behavior,"['Karl Marx', 28]","['September 11 attacks', 22]","['Clitoris', 16]","['Autofellatio', 13]","['George W. Bush', 10]","['Vyacheslav Molotov', 7]","['Occupation of the Palestinian territories', 6]","['Jerusalem', 5]","['9/11 Commission', 3]","['Bob Dole', 3]"
198.110.249.200,5.0,Government,Law,Education,Crime,"['Conscription', 1]","['Murders of Rachel and Lillian Entwistle', 1]","['Aquinas College (Michigan)', 1]",,,,,,,
1ForTheMoney,708.0,Technology,Entertainment,Gaming,Lists,"['RuneScape', 746]","['Jagex', 238]","['FunOrb', 151]","[""Oddworld: Abe's Exoddus"", 56]","['War of Legends', 9]","['List of fictional elements, materials, isotopes and subatomic particles', 9]","['Andrew Gower (programmer)', 6]","['Steel Sentinels', 5]","['List of massively multiplayer online role-playing games', 4]","['Darren Byfield', 4]"
1of3,444.0,Politics,War,Science,Media,"['Ron Paul', 29]","['Mountain View, California', 25]","['Iraq War', 24]","['Larry Craig', 10]","['Models of the universe', 10]","['Ann Coulter', 8]","['Speech recognition', 5]","['Plug-in hybrid', 3]","['Al Gore controversies', 2]","['Sex position', 2]"
2,857.0,Transportation,Culture,Music,Education,"[""Driver's licenses in the United States"", 79]","['Vehicle inspection', 59]","['Cendrillon (Viardot)', 52]","['Phi Mu Alpha Sinfonia', 49]","['Cape Cod Regional Transit Authority', 46]","['NEXUS', 41]","['American entry into Canada by land', 41]","['Raritan Valley Line', 36]","['Tompkins Consolidated Area Transit', 35]","['Sturgis Charter Public School', 25]"
2004-12-29T22,,45Z: Media,Politics,Sports,Geography,,,,,,,,,,
2004-12-29T22:45Z,662.0,,,,,"['Quito', 174]","['Larry Kudlow', 121]","['The NFL Today', 93]","['CNBC', 70]","['Encyclopedia Dramatica', 70]","['Jim Cramer', 65]","['Mad Money', 64]","['Abdalá Bucaram', 63]","['Barcelona S.C.', 57]","['CNBC Ticker', 55]"
202.58.85.8,134.0,Religion,Science,Economy,History,"['Hermetic Order of the Golden Dawn', 17]","['Golden Dawn tradition', 16]","['Hwang Woo-suk', 9]","['Suria KLCC', 3]","['Sheldon Rampton', 3]","['George W. Bush', 3]","[""Criticism of Jehovah's Witnesses"", 2]","['Unemployment', 2]","['Negeri Sembilan', 1]","['Andreas Hofer', 1]"
203.125.28.98,23.0,Culture,Society,Entertainment,Philosophy,"['Crowd Lu', 5]","['Strawberry generation', 3]","['Anglian Combination Division One', 1]","['Double standard', 1]","['Lady Marmalade', 1]",,,,,
203.213.7.131,204.0,Sports,Media,Technology,Education,"['Matt McKay', 13]","['Vikash Dhorasoo', 10]","['MuggleNet', 9]","['Glass', 8]","['Stanthorpe, Queensland', 7]","['Brisbane Roar FC', 7]","['Tomohisa Yamashita', 6]","['Leet', 6]","['Globalization', 6]","[""St Paul's Anglican School, Bald Hills"", 6]"
205.157.110.11,323.0,,,,,"['Office Depot', 104]","['Strength & Loyalty', 15]","['Albany High School (Georgia)', 13]","['Godsmack', 11]","['Grey DeLisle', 9]","['Unreal Tournament 3', 8]","['Folsom, California', 8]","['JayTee Records', 8]","['2006 NFL draft', 8]","['Ricky Martin', 8]"
207.6.58.42,5.0,Politics,Society,Government,History,"['Saskatchewan Youth Parliament', 2]","['British Columbia Youth Parliament', 1]",,,,,,,,
211.30.169.132,1.0,History,,,,"[1991, 1]",,,,,,,,,
216.153.214.94,332.0,Politics,Technology,Military,Sports,"['John Kerry', 159]","['Killian documents controversy', 54]","['Dedham, Massachusetts', 39]","['2004 United States presidential election controversy and irregularities', 28]","['Stolen Honor', 9]","['Axis of evil', 7]","['Sandy Berger', 6]","['Swift Vets and POWs for Truth', 6]","['George W. Bush military service controversy', 5]","['Windows 2000', 5]"
21655,690.0,Entertainment,Music,Sports,People,"['Disturbed (band)', 55]","['Indestructible (Disturbed album)', 28]","['Brazil national football team', 18]","['Guitar Hero World Tour', 18]","['DragonForce', 16]","['Inside the Fire (song)', 11]","['Lake Orion High School', 11]","['Shadows Fall', 10]","['Bryn Mawr School', 8]","['Bernard Hopkins', 8]"
217.33.207.195,234.0,Geography,Culture,Information,Sports,"['Ghana', 21]","['Benidorm', 21]","['Copper(II) sulfate', 18]","['Sheffield Wednesday F.C.', 17]","['Sheffield United F.C.', 14]","['Input/output', 12]","['Ciara', 12]","['Sheffield', 11]","['City of Doncaster', 10]","['Content analysis', 9]"
23prootie,634.0,Politics,History,Society,Other,"['Philippines', 552]","['ASEAN', 257]","['Commonwealth of the Philippines', 253]","['Marky Cielo', 250]","['Southeast Asia', 225]","['Allies of World War II', 187]","['Gaza War (2008–2009)', 186]","['Libby (Lost)', 181]","['Ploning', 169]","['Michelle Branch', 162]"
23skidoo,992.0,Entertainment,Television,Film,Science Fiction,"['James Bond', 308]","['Star Trek: Enterprise', 237]","['The Saint (Simon Templar)', 211]","['Casino Royale (2006 film)', 204]","['Bill Haley & His Comets', 163]","['Angelina Jolie', 144]","['The Prisoner', 132]","[""T'Pol"", 128]","['Star Trek', 123]","['Corner Gas', 118]"
24.15.158.90,1.0,Mathematics,Statistics,,,"['Statistics', 1]",,,,,,,,,
24.18.171.99,227.0,Philosophy,Human Behavior,Concepts,Culture,"['Procrastination', 134]","['Meaning of life', 61]","['Human sexuality', 58]","['Human sexual activity', 54]","['Sexual slang', 37]","['Sex position', 26]","['Physical intimacy', 18]","['Lists of philosophy topics', 18]","['Sexual intercourse', 17]","['Outline of philosophy', 8]"
24.46.201.42,236.0,Education,Technology,Health,Nature,"['Half Hollow Hills Central School District', 6]","['RuneScape', 3]","['Abortion', 3]","['Anus', 2]","['Jack Starr (Texas guitarist)', 2]","['Banana', 2]","['Scouts of China', 2]","['Cannabis (drug)', 2]","['Spaceport', 2]","['PGC', 2]"
24.55.228.56,205.0,Health,People,Law,Society,"['E. Fuller Torrey', 46]","['Larry C. Johnson', 26]","['List of Scientologists', 26]","['Thomas Szasz', 24]","['Jack Abramoff', 22]","['Treatment Advocacy Center', 19]","['Anti-psychiatry', 16]","['Peter Breggin', 13]","['Valerie Plame', 10]","[""Laura's Law"", 10]"
24.93.170.23,0.0,,,,,,,,,,,,,,
24ip,460.0,Human behavior,Law,Nature,Other,"['Pedophilia', 40]","['Principality of Sealand', 17]","['Pedophile movement', 14]","['Child sexual abuse', 11]","['Sexual grooming', 10]","['Perverted-Justice', 9]","['Child sexuality', 6]","[""Portuguese man o' war"", 6]","['Emma Watson', 6]","['Richard Chase', 5]"
28bytes,1086.0,Entertainment,Technology,Lists,Internet,"['List of Atari 2600 games', 134]","['Move Like This', 73]","['Atari 2600 homebrew', 53]","['Yes (band)', 24]","['Duck Attack!', 24]","['Fly from Here', 24]","['The Cars', 22]","['Atari 2600', 22]","['Halo 2600', 21]","['Dread Zeppelin', 19]"
2D,899.0,Sports,Technology,Internet,Education,"['Millennium Force', 30]","['The Three Doctors (motivational speakers)', 21]","['Artificial wave pool', 19]","['Willie Bean', 14]","['Net Nanny', 11]","['Neopets', 10]","['Loyola Sacred Heart High School', 9]","['Mac operating systems', 8]","['All Time Low', 8]","['Cedar Point', 7]"
2help,733.0,People,Government,Education,Culture,"['Little Richard', 9]","['Quinton Jackson', 6]","['Swan Valley High School', 6]","['Sigma Alpha Epsilon', 6]","['Auburndale High School', 6]","['Blytheville, Arkansas', 5]","['Colombia', 5]","['Austria', 5]","['NSYNC', 5]","['Center High School (California)', 5]"
2over0,861.0,Science,Health,Alternative Medicine,Education,"['List of topics characterized as pseudoscience', 124]","['Acupuncture', 100]","['Naturopathy', 89]","['Alternative medicine', 58]","['Homeopathy', 53]","['Abortion–breast cancer hypothesis', 53]","['Chiropractic', 47]","['Magnet therapy', 43]","['Reiki', 43]","['Vitamin C', 41]"
32X,540.0,Business,Technology,History,Entertainment,"['Sega', 40]","['Sega Genesis', 28]","['Sega CD', 25]","['32X', 19]","['List of Sega Genesis games', 19]","['Game Gear', 18]","['Sega Saturn', 16]","['Action Replay', 14]","['Master System', 13]","['Virtual Boy', 12]"
33451,539.0,Technology,Media,People,Culture,"['IMac', 8]","['Narrator (Windows)', 5]","['Jesse Katsopolis', 5]","['Mary-Kate and Ashley Olsen', 4]","['Netscape Navigator', 4]","['EMac', 3]","['GEM (desktop environment)', 3]","['Wendell', 3]","['Joey Gladstone', 2]","['New York Minute (film)', 2]"
3centsoap,464.0,Culture,Communication,Government,Society,"['Walter Johnson High School', 3]","['TV3 Slovenia', 2]","['Heinze', 2]","['Pacifier', 2]","['Criticism of the BBC', 2]","['Jason Hsu', 2]","['Bus Stop (song)', 2]","['Fluxbox', 2]","['North American Man/Boy Love Association', 2]","['Jock Wishart', 2]"
3leopard,410.0,History,Language,Geography,Culture,"['History of the Genoese in Gibraltar', 33]","['Lingua franca', 15]","['History of Monaco', 12]","['Intemelio dialect', 12]","['Mentonasc dialect', 8]","['Brigasc dialect', 6]","['Menton', 6]","['Roquebrune-Cap-Martin', 4]","['Italian diaspora', 3]","['Languages of Monaco', 3]"
43?9enter,105.0,Education,People,History,Lists,"['List of people educated at Westminster School', 2]",,,,,,,,,
49TL,932.0,Internet,Communication,Technology,Education,"['Big Brother (British TV series) series 7', 163]","['Big Brother 2006 nominations table (UK)', 132]","['Wikipedia', 65]","['Big Brother (British TV series) series 6', 64]","['Big Brother (British TV series) series 8', 63]","['MSN Messenger', 37]","['Maidstone Grammar School', 34]","['Big Brother (British TV series)', 30]","['George W. Bush', 26]","['United States', 21]"
4kinnel,368.0,Military,Government,Entertainment,Politics,"['Starhyke', 5]","['Bicester Military Railway', 5]","['Mick Hucknall', 5]","['BT Tower', 4]","['Zippy (Rainbow)', 3]","['Beata Brookes', 3]","['Trent Affair', 2]","['2007 Iranian arrest of Royal Navy personnel', 2]","['Heidi Hautala', 2]","['Suicide attack', 2]"
4twenty42o,852.0,Religion,Sports,Technology,Law,"['Gangster Disciples', 28]","['Almighty Vice Lord Nation', 22]","['420 (cannabis culture)', 21]","['Iglesia ni Cristo', 20]","['Krav Maga', 13]","['SKS', 12]","['Glock', 11]","['Polányi', 11]","['Darrell Hammond', 11]","['Berlin Wall', 11]"
4wajzkd02,616.0,Internet,Business,Engineering,Food and drink,"['List of TCP and UDP port numbers', 149]","['List of pharmaceutical companies', 54]","['Thomas Edison State University', 44]","['Boeing C-97 Stratofreighter', 40]","['Aberdeen, Maryland', 39]","['Dietary fiber', 32]","['PSP', 28]","['ATC', 22]","['Twinings', 22]","['Pano Akil', 21]"
5,100.0,,,,,,,,,,,,,,
52,101.0,,,,,,,,,,,,,,
578,514.0,History,Science,People,Society,"['Battle of Athens (1864)', 8]","['Bruce Henderson', 8]","['Battle of Chalk Bluff', 6]","['Star Wars Holiday Special', 4]","[""Battle of Day's Gap"", 4]","[""Battle of Elkin's Ferry"", 4]","['Irving Langmuir', 4]","['Boxer shorts', 3]","['Battle of Decatur', 3]","[""Battle of Devil's Backbone"", 3]"
5faizan,389.0,Culture,Education,Media,Other,"['International Indian School Jeddah', 24]","['Peace TV', 4]","['The Angrez', 2]","['Saudi Arabia', 1]","['University of Mumbai', 1]","['Phineas and Ferb Christmas Vacation', 1]",,,,
64.12.116.133,243.0,Religion,Entertainment,Sports,Politics,"['Traditionalist Catholicism', 43]","['Transformers: Cybertron', 25]","['Tomb Raider: Legend', 20]","['Madonna singles', 20]","['List of Shen Gong Wu revealed in Season One', 19]","['Dominican Republic', 18]","['Vegeta', 17]","['WWE SmackDown! vs. Raw 2006', 16]","['2006 United States House of Representatives elections', 15]","['2006 NBA Finals', 15]"
64.230.2.27,0.0,,,,,,,,,,,,,,
68.148.134.201,0.0,,,,,,,,,,,,,,
68.190.178.87,28.0,Technology,Internet,Science,Philosophy,"['List of shock sites', 2]","['List of computer technology code names', 2]","['Chris Barber', 1]","['Al Gore', 1]","['Electrical engineering', 1]","['Answer to Life, the Universe, and Everything', 1]","['Talker', 1]","['WTF', 1]","['Babri Masjid', 1]","['Paradox', 1]"
69.121.245.182,37.0,Nature,Weather,Technology,Society,"['Tropical Storm Danielle (1986)', 1]","['2006 Nova Scotia tropical storm', 1]","['Gears of War (video game)', 1]","['Tropical Storm Norma (2005)', 1]","['Ocean House, Rhode Island', 1]","['Arctic Lands', 1]","['Hurricane Epsilon (2005)', 1]","['Finnish Americans', 1]","['2010 Bronx tornado', 1]","['Herman Bing', 1]"
69.57.154.67,10.0,,,,,"['Scientology', 3]","['Names of God in Islam', 1]","['What an Asshole!', 1]",,,,,,,
6SJ7,589.0,Politics,Geography,History,Law,"['Israeli apartheid', 106]","['State of Palestine', 49]","['Tzipi Livni', 40]","['Jerusalem', 31]","['Ariel Sharon', 27]","['Allegations of apartheid', 26]","['Palestinian right of return', 25]","['If Americans Knew', 24]","['Menachem Begin', 22]","['Jews for Jesus', 19]"
7,1122.0,Geography,Education,Technology,Nature,"['New Canaan, Connecticut', 52]","['New Canaan High School', 41]","['Mitsubishi Ichigokan Museum, Tokyo', 31]","['Waveny Park', 23]","['American School in Japan', 23]","['Loud, Proud & Heavy: The Best of Uriah Heep', 20]","['New Haven Police Department', 17]","['Comprehensive National Cybersecurity Initiative', 16]","['Bermuda Triangle', 16]","['Chatham, New Jersey', 15]"
71.106.28.156,1.0,Mathematics,,,,"['Generalized function', 1]",,,,,,,,,
71.112.134.138,7.0,Sports,,,,"['Tight end', 1]","['Steve Largent', 1]","['Al Lucas (American football)', 1]","['Shaun Alexander', 1]",,,,,,
7107delicious,547.0,Business,Culture,Government,Society,"['Garuda Indonesia', 13]","['KidZania Jakarta', 8]","['South Jakarta', 8]","['Indonesian National Police', 5]","['Indonesian Democratic Party of Struggle', 4]","['Pasar Minggu', 4]","['Adam Air', 4]","['Central Jakarta', 3]","['KidZania Koshien', 3]","['Kebayoran Lama', 3]"
71Demon,718.0,Military,History,Geography,Transportation,"['Mineral County, West Virginia', 69]","['USS Pivot (AM-276)', 40]","['Potomac River', 33]","['Gary Howell (West Virginia politician)', 31]","['List of U.S. Highways in West Virginia', 24]","['West Virginia', 24]","['USS Serene (AM-300)', 22]","['Appalachia', 21]","['U.S. Route 220', 21]","['USS Marion County', 17]"
72Dino,668.0,Geography,Business,Sports,Education,"['Huntington Beach, California', 280]","['List of Latter Day Saints', 232]","['The Church of Jesus Christ of Latter-day Saints', 165]","['BMW', 135]","['Orange County, California', 130]","['Mitt Romney', 126]","['Long Beach, California', 125]","['Joseph Smith', 121]","['Huntington Beach High School', 118]","['Corona del Mar High School', 116]"
74.178.230.17,207.0,Biography,Food and drink,Culture,Law,"['Bronisław Komorowski', 13]","['Istria', 10]","['Paul Tagliabue', 10]","['Sauerkraut', 6]","['Mehrdad Bahar', 5]","['Interpersonal skills', 4]","['Johann Georg Bendl', 4]","['Bess Myerson', 4]","['Jacksonville State University', 4]","['Ohio-class submarine', 3]"
75.62.7.22,42.0,Science,Information,Music,Literature,"['Melamine', 4]","['United States Department of Justice', 1]","['Scale (music)', 1]","['Max Sandlin', 1]","['List of 21st-century classical composers', 1]","['SuperOffice', 1]","['Prelude (music)', 1]","['The Glass Bead Game', 1]","['Battlefield Earth (novel)', 1]","['Pianist', 1]"
76,411.0,Geography,Recreation,Education,Transportation,"['Eagle Raceway', 18]","['Schramm Park State Recreation Area', 8]","['Bohemian Alps', 8]","['Junction Motor Speedway', 7]","['MoPac Trail', 6]","['Bethany, Nebraska', 6]","['Nebraska Highway 31', 6]","['Pawnee State Recreation Area', 5]","['Southeast Community College', 5]","['Lincoln Northeast High School', 5]"
78.26,1273.0,Entertainment,History,Music,Lists,"['List of record labels: A–H', 277]","['List of record labels: I–Q', 144]","['J. Charles Jessup', 132]","['Bohumir Kryl', 125]","['Josie Sadler', 120]","['List of record labels: R–Z', 114]","['Bobby Byrne (musician)', 89]","['Robert Leonhardt', 82]","['Marcy Tigner', 77]","['Falcon Records (Texas)', 76]"
7OA,516.0,Mass media,Nature,Food and drink,Entertainment,"['KYTV (TV station)', 16]","['May 2009 derecho series', 7]","['West Plains, Missouri', 5]","['List of United States tornado emergencies', 4]","['Keddie murders', 3]","[""Domino's"", 3]","['The Club (Nickelodeon)', 3]","['Nick.com', 3]","['Oh Henry!', 3]","['Pamela Bach', 2]"
80.176.190.96,3.0,Sports,Geography,,,"['Parkour', 1]","['International Climbing and Mountaineering Federation', 1]",,,,,,,,
82,385.0,People,Entertainment,Technology,Animals,"['Padre', 1]","['Tootsie Roll', 1]","['Laser game', 1]","['Emo', 1]","['William Blackstone', 1]","['Pink eared duck', 1]","['Temporary folder', 1]","['Michael Phelps', 1]","['University of Miami', 1]","['Zebra Duck', 1]"
83d40m,740.0,History,People,Geography,Arts,"['Kafi Benz', 126]","['Jim Gary', 112]","['Sarasota, Florida', 84]","['Hatshepsut', 68]","['Carl Benz', 64]","['Frederick T. van Beuren Jr.', 64]","['Sarasota Chalk Festival', 52]","['Ancient Egyptian deities', 47]","['Lion', 45]","['Chatham Borough, New Jersey', 42]"
86654,,Health,People,Animals,Politics,,,,,,,,,,
8bitJake,437.0,Politics,Society,Technology,Media,"['Democratic Party (United States)', 76]","['Henry M. Jackson', 52]","['Xbox 360 technical problems', 45]","['Christine Gregoire', 37]","['Democratic Leadership Council', 36]","['1999 Seattle WTO protests', 30]","['Maria Cantwell', 27]","['Seattle', 25]","['Morgan Spurlock', 24]","['Howard Dean', 22]"
