username,total_score
Hardtofindaname,579
Harland1,831
Harpchad,524
Harry,100
Hassocks5489,826
Haukurth,976
Hawkestone,656
Haymaker,641
Hazir,549
Hdt83,989
Heather,662
Heidijane,506
Hekerui,834
HellinaBucket,170
Heltec,382
Hendry,417
Henry,120
Heraclius,584
HerkusMonte,713
Heron,771
Hestiaea,223
HeyNow10029,526
Hhhippo,658
Hiddenhearts,628
Highfields,634
Hillman,662
Hlj,780
Hobbeslover,152
Hokeman,669
Homunculus,627
HooperBandP,539
Horlo,482
HotHat,735
Howabout1,607
Huaiwei,854
Hughesdarren,1000
Humblefool,641
HuskyHuskie,674
Hydnjo,684
Hyperbole,545
IComputerSaysNo,694
IMatthew,104
Iain99,903
Iamzodyourzodeveryzod,298
Ianblair23,931
Icairns,846
Iceflow,103
Icewolf34,499
Icseaturtles,746
Ifnord,1047
Igorberger,616
Ikh,704
Ilikepie2221,671
Ilyanep,796
Imdaking,608
Immunize,900
ImperfectlyInformed,790
Improfane,192
Indiver,387
Infinity0,640
Inks.LWC,967
Inter,978
Intoronto1125,883
Ioeth,1109
Irbisgreif,742
Iriseyes,492
Irmgard,647
Irongargoyle,111
Isentropiclift,454
Islaammaged126,575
Isolani,698
Italick,428
Itfc+canes=me,610
IvoShandor,838
J,230
J.Steinbock,542
JASpencer,925
JCDenton2052,635
JD,446
JForget,1100
JHunterJ,950
JLDW,393
JRM,730
JStewart,593
Jaakobou,744
Jachin,704
Jack1956,1026
Jackieboy87,524
Jackyd101,826
Jafeluv,1001
Jaimaster,479
Jakken,481
James.Spudeman,523
JamesLucas,835
Jamesontai,952
Jan,100
Jareha,806
Jarry1250,1030
Jauerback,1112
Javert,813
Jay*Jay,346
JayLeno175,553
Jaymacdonald,321
Jbamb,558
Jboyle4eva,419
Jccort,587
JeLuF,536
Jeanne,106
Jeff,0
Jengod,904
Jeremjay24,715
Jerrch,693
Jespinos,554
Jet123,104
Jezhotwells,985
Jgmikulay,628
Jhbuk,688
Jibran1,467
JimMillerJr,748
JimmyBlackwing,754
Jishacj,586
Jmajeremy,856
Jmlk17,963
Jni,942
JoJo,502
Jock,437
Joe,100
Joeferret,146
JohnFromPinckney,854
Johnfos,797
JohnnyAlbert10,644
Jokestress,916
JonasEncyclopedia,100
Jonathunder,902
Jord,767
Josette,679
JoshuaKuo,632
Jozal,102
Jprg1966,1124
Jriddell,289
Jscott,365
Jsmith86,589
Jtrainor,750
Juansidious,618
Jujutacular,1006
Juntung,620
JustGettingItRight,385
Justin,645
Jwrosenzweig,804
Jón,626
KAS,457
KFP,945
KNM,594
KSmrq,622
Kafziel,933
Kaibabsquirrel,604
Kaiwhakahaere,533
Kalathalan,639
Kama,395
Kanatonian,866
Kangie,671
Kappa,706
Kareeser,723
Karmafist,825
Karwynn,476
Katarighe,100
Kayau,884
Kbrose,713
KeYYeK,245
Keegan,1084
Keesiewonder,715
KeithD,716
Kelly,804
Kennedygr,101
KensingtonBlonde,393
Kerotan,671
Kevin12xd,864
Keystoneridin,717
Khalif,373
Khorshid,697
Kickstart70,727
Kierzek,828
Killerofkiller,173
Kilopi,615
Kittybrewster,851
Kkrouni,530
Kleopatra,536
Kmorozov,687
KnightLago,1035
KnowledgeOfSelf,911
Kodster,651
Kolokol,501
Kookykman,706
Korruski,674
Kpalion,894
Kralizec!,1151
Krator,737
Kribbeh,605
Krm500,763
Kubek15,892
KuduIO,746
Kurieeto,585
Kushan,105
Kuzaar,752
Kwsn,102
Kylu,752
L0b0t,707
L33tminion,677
LOL,592
LWF,708
Lakers,725
Lambanog,605
Lan3y,114
LaraLove,103
Latebird,748
Laurinavicius,640
Lazulilasher,944
Ld,771
LeadSongDog,914
Lecen,623
Leebo,918
LegCircus,616
Legolost,464
Leifern,746
Lenticel,917
LeonWeber,129
Lerdthenerd,877
LestatdeLioncourt,612
Letsdrinktea,100
Leyo,930
Lid,848
Lifeisunfair,103
Lightmouse,623
Lil-unique1,1058
Linas,765
Phoenix2,100
Pi,865
Piemanmoo,103
Pikiwyn,844
Pink,100
Pioneer-12,678
PirateSmackK,666
Pizzahunks,409
PlasmaTime,468
Plek,635
Plutonium27,837
Pmlineditor,991
Poeticbent,831
Poindexter,100
Polargeo,743
Polarwolf,585
Politis,605
Polynomial123,508
PopularMax,447
Porqin,730
Poulsen,658
Pr3st0n,454
RedWolf,871
Redcountess,492
Rednblu,710
Redux,744
Reene,652
Reinis,592
Remember,712
Rentastrawberry,580
Resurgent,164
Retrolord,632
RevanFan,629
Revolver,525
RexxS,978
Rgoodermote,744
RicDod,585
RichardF,704
Richerman,690
Richwales,1054
RifeIdeas,571
RightCowLeftCoast,948
RiverlarkZ,140
Rje,845
Rkevins82,103
Rl,638
Rlogan2,567
Rmt2m,502
Roamataa,619
Robdurbar,855
Robin,674
Robomaeyhem,703
Rock09,131
Rockfang,851
Rodzilla,558
Rogper,102
Ronnotel,845
Roozbeh,667
Roundhouse0,609
RoySmith,938
Rracecarr,529
Rsheptak,419
RuleOfThe9th,433
Runningonbrains,1149
Rustavo,670
RxKaffee,144
Ryan,783
RyanFreisling,727
Rymich13,513
S,719
SBC-YPR,629
SFGiants,807
SKS2K6,762
SMasters,687
SQL,1193
Sabrage,242
Sagaciousuk,599
Sakis79,414
Salazar,417
Salmonilla,125
Salvag,421
SamanthaFox27,130
Samir,1027
Sandahl,100
SandyDancer,631
Sansculotte,176
SarahStierch,154
Sardanaphalus,743
Sartaj,447
Sashazlv,603
Satori,713
SaxTeacher,672
Scaife,686
Scetoaux,821
Schlamniel,148
Scholarly,270
Schutz,842
Scieberking,543
Scjessey,1008
Scolaire,826
Scott3,617
Scottfisher,592
Scottywong,1115
Sdsds,814
Sean,526
Seancdaug,710
Seaserpent85,635
Sebastiankessel,720
Secondarywaltz,792
Seduisant,829
Semperf,808
Sentriclecub,453
Seraphimblade,1131
SergeantBolt,565
Sesameball,567
Sethdoe92,599
Severa,636
Sgeureka,923
Shagie,421
Shalom,109
Shanes,1017
Shatner1,513
Shauri,725
SheepNotGoats,843
Shem,586
Shibumi2,416
Shimmera,526
Shinjiman,757
Shirimasen,555
Shmitra,545
Shootbamboo,614
Shotwell,499
Shrigley,106
Shuki,746
Shyamal,997
Sidonuke,102
Silensor,705
Silverwolf85,102
SimonKSK,640
Sindell,160
Sinhala,139
SirFozzie,828
Sisodia,438
Sjakkalle,1120
SkArcher,368
Skenmy,564
Skinny87,734
Sko1221,408
Sky,502
Skyler1534,673
Slf67,100
Slipknot222,214
Slp1,1149
Smallbones,904
Smbarnzy,548
SmileToday,645
SmithBlue,585
Smoddy,102
Smsarmad,1100
Snardbafulator,232
Snillet,416
Snow,100
Snoyes,674
Soap,1259
Socom49,463
Sokac121,500
Solti,493
SomeStranger,574
Someoneinmyheadbutit'snotme,583
Sonia,924
Sonjaaa,603
Sopoforic,639
Soundvisions1,719
SouthernNights,1031
Soxrock24,537
SpK,809
Spacefarer,448
Spangineer,948
Sparr,273
Spaully,727
Spebi,102
Spevw,504
Spidey665,517
Spinn,328
Splette,690
Spook`,569
SpuriousQ,925
Srose,725
Ssteedman,634
Staberinde,807
Stammer,522
Stardust8212,698
Station1,965
Stco23,566
Steele,100
Stephan,100
Stepshep,818
Steve,727
Stevecov,533
Stevenzenith,459
Stewartadcock,656
Stifle,1297
Sting,503
Stone,729
Stormscape,513
Straight,155
Strike,100
Stringops,466
StuRat,566
Student7,1004
Subversified,437
Suffice,361
Sukh,679
Sumsum2010,833
SunStar,100
Sunny910910,584
SuperHamster,1140
Superflyguy,187
Supten,604
Surturz,603
Sushant,100
Sven70,425
Swatjester,1146
SwirlBoy39,667
Switchercat,821
SylwiaS,641
Synergy,922
Szquirrel,488
TBDevilRays2009,210
TCNSV,431
THB,656
THUGCHILDz,613
TML,568
TParis,1198
TSO1D,838
Ta,100
TaerkastUA,825
TakuyaMurata,1015
Tamsier,894
Tannin,781
Taprobanus,100
Tariqabjotu,1177
Tasc0,635
Taw,615
Tazerdadog,932
Tchadienne,465
Tdxiang,742
Techman224,858
Tedernst,601
Teh,100
TelevisionMan13,280
Tembelejderha,338
Terrancommander,601
Terrybader,543
TestPilot,656
TexasAndroid,1108
Tgenieyi,131
TharsHammar,645
Thatdog,714
TheBigPicture,205
TheDJ,867
TheFeds,759
TheInfinityZero,573
TheLetterM,806
TheOriginalSoni,103
ThePeepShow,323
TheRasIsBack,621
TheSparton,125
Thebirdlover,955
Theda,953
Thegroove,258
Theking17825,588
Themfromspace,1037
Theoldanarchist,602
Thesocialistesq,103
Thisisborin9,659
Thomas85753,513
Thricecube,782
Thryduulf,1106
Thunderhead1,201
Tiamut,732
Tiggerjay,1069
Till,847
Tim1357,976
TimLambert,425
Timeshift9,816
Timotab,783
Tintin1107,828
Tisthammerw,519
Tivedshambo,103
Tkinias,623
Tmtoulouse,652
TodorBozhinov,860
Tohru,263
TomPointTwo,607
TomasBat,637
Tomica,902
Tommyjb,721
Tone,1007
Toon05,957
Trackinfo,943
Trampikey,761
TreasuryTag,1032
Treelo,402
Trevor,154
Trident13,823
Triskaideka,653
Trolleybus,401
TruPepitoM,661
Trumpetband,473
Tswsl1989,452
Tuckdogg,102
Tulkolahten,694
Turgidson,816
Tuspm,642
TuzsuzDeliBekir,523
Twaz,562
Twsx,983
Tyrenius,958
U-Two,439
UTSRelativity,552
UberScienceNerd,911
Uhai,967
Ultraexactzz,1123
Unbehagen,346
UncleDouggie,736
Unitanode,607
Urban,115
Ushau97,711
Uthbrian,644
VJ.West,150
VSimonian,107
Vadder,589
Valerian456,470
VampWillow,615
Vasile,436
VengeancePrime,486
Verdlanco,559
Versus22,879
Viajero,695
Vicenarian,940
Victoria,490
Vigyani,879
VinceB,505
Vintagekits,695
Viridae,889
VirtualSteve,909
Viskonsas,638
VivioFateFan,110
Vlatkoto,590
Vodello,806
Volatile,673
Vonita,204
Voyevoda,502
Vyvyan,127
WAS,586
WBardwin,642
WIkiman,115
Wackywace,874
Waggers,1269
Walkerma,768
Walter,571
Wangi,816
Wareh,707
Warpflyght,635
WarriorScribe,578
Waterjuice,538
Weatherman90,679
Wedian,626
WeijiBaikeBianji,734
Werdna648,139
Wernher,647
WestwoodMatt,484
Wgfinley,108
Where,822
Whouk,817
Wickethewok,908
Wiglaf,637
WikiCats,733
WikiKingOfMishawaka,525
WikiSlasher,666
Wikiality123,700
Wikidan829,578
Wikieditor222,113
Wikipedia,107
Wikipedianinthehouse,623
Wikipeditor,597
Wildhartlivie,792
Will,485
WilliamThweatt,893
Willow177,603
Willydick,421
Windturbine,177
Winhunter,1019
Wisesabre,558
Wizardry,101
Wjemather,912
Wl219,846
Wolfkeeper,793
Worm,100
Wrelwser43,523
WriterListener,752
Wslack,639
Ww2censor,1045
X1987x,582
XP,562
Xasodfuih,655
Xchrisblackx,536
Xeno,1291
Xenus,600
Xiaopo,486
Xiutwel,514
Xp54321,811
Xtv,566
Yaksha,706
Yandman,784
Yanksox,919
YellowAssessmentMonkey,676
Yellowweasel,530
Yeshivish,102
Yilloslime,870
Yodo,216
Yonatan,850
Yopienso,771
Yotcmdr,524
Youreallycan,736
Ypnypn,805
Yuber,679
Z.E.R.O.,663
ZacBowling,851
ZachsMind,499
Zaheer89,186
Zanaq,666
Zanthalon,441
Zapptastic,544
Zchangu,349
Zeldatime,127
Zepheus,713
Zeraeph,624
Zero0000,1019
Zhang,173
ZimZalaBim,1176
Zoney,771
Zserghei,449
aliasd,648
auawise,151
billinghurst,1044
brianherman,302
cf38,100
cool10191,100
daniel,1282
ddstretch,940
e2eamon,778
elcobbola,822
fahadsadah,550
fvw,942
gordonjcp,413
harry491,629
hydkat,592
ikiroid,810
j,230
jiy,550
jscott,365
killerofkiller,173
liambussell,235
mynameinc,684
nerdfighter,100
ntennis,552
phoebe,1001
rdunn,646
roux,913
shoeofdeath,1017
spencer195,654
sulmues,726
thedemonhog,751
thumperward,1145
tmorton166,102
tsca,467
wiooiw,650
x42bn6,725
zanimum,1104
Spark,627
Slash,536
Mattspac,635
Az1568,711
Addihockey10,898
Arcticocean,1214
Jena Fi,532
LeoFrank,1200
Dan1679,895
FormerEditor2718,687
PhilKnight,1220
Awilley,1090
AlasdairEdits,692
72Dino,668
LadyofShalott,1157
AlexJ,584
Buttons to Push Buttons,1061
spaceharper,811
Anachronist,1256
Ambuj.Saxena,790
Ameliorate!,881
M.O.X,1045
Joshii,673
Anderson,703
Floating Boat,670
Andonic,1058
Andrew Su,624
Mahagaja,1074
Dharmadhyaksha,1002
Sir Nicholas de Mimsy-Porpington,956
AndrewN,765
Gryffindor,829
Anthony Bradbury,1006
Aditya,747
JeanetteMartin,910
Search4Lancer,674
Caspian blue,947
Archtransit,621
Arda Xi,612
Shereth,795
Nathan Johnson,776
Ross CJ,257
Avatar,469
Avinesh,736
jarcanist,706
Nathan,870
Wadewitz,676
Calmer Waters,1140
Penguins Are Animals 5327,919
Mursel,701
BarretB,944
Elahrairah,899
Just Step Sideways,1210
Erakura,961
Spliffy,747
Bald Zebra,885
Tek022,693
Minna Sora no Shita,1004
Brandon,986
dscos,781
Blueshirts,611
HangingCurve,1149
BrineStans,773
Chris-martin,699
FrozenUmbrella,483
Vanished user 90345uifj983j4toi234k,512
Docboat,728
Kiewii,763
VanishedUser 261249,482
TwilligToves,652
Valjean,1063
Bungle,1022
DangerousPanda,1087
Foregone conclusion,620
Jack,810
The Wicked Twisted Road,809
cyberpower678,1171
ChazJS,538
Caden,618
The prophet wizard of the crayon cake,593
The Determinator,775
West Virginian,862
Hannibalormaybejustrex,729
Crazytales,1043
Chris is me,632
TerminalPreppie,830
Loren36,872
Fluffernutter,1103
FrummerThanThou,709
Shortenfs,529
LurkingInChicago,602
CJ King,550
HighInBC,1086
Apoxyomenus,825
City of Silver,990
Cncmaster,888
Jumbling,756
Congolese fufu,418
Conti,848
Amitrochates,687
CIS,654
Crispmuncher,707
CTF83!,1139
CJ,922
Bkatcher,923
SquarePeg,515
Millelacs,849
Dave Dial,867
Ryan032,657
Donald Albury,1044
Daniel,1282
Dantheman531,659
AniMate,930
Conifer,1071
David Shankbone,811
2D,899
Jeffrey R. Clark,1016
DeltaQuad,496
Bulgu,734
Deon,719
MarcoAurelio,739
Panoptical,803
Gerry D,668
Exxolon,746
Dominic,1097
Under22Entreprenuer,376
DeirdreAnne,801
AFigureOfBlue,1029
GravityUp,847
Niagara,727
JamesR,932
Editor at Large,617
DoubleAW,495
2over0,861
Dendory,731
Black Kite,1241
Godgoddingham333,522
Emily~enwiki,537
Josette,679
Heather,662
Fiveby,698
A3RO,686
Miacek,747
Lyght,581
Vanished user azby388723i8jfjh32,646
Zero Gravity,745
Finns,620
Polarscribe,858
FrederalBacon,1005
Fingerz,821
49TL,932
T,804
LFaraone,1077
Agent 86,756
Fox,1113
Fredil Yupigo,612
FusionLord,514
Giggy,836
PCHS Pirate Alumnus,1051
Sonic is Cool!!,346
Gary Kirk,602
Kapohogrrl,619
SlimJim,638
BeenAroundAWhile,906
Floridian,722
Giac83,392
JohnWittle,518
QuentinJuvisy,467
Graham Beards,985
The Moose,1063
PAVA11,965
Thane,705
HarrisonB,604
HJ Mitchell,1300
GFHandel,706
Hair,712
Ham II,826
"Chase me ladies, I'm the Cavalry",1144
Nick,1165
COBot,670
John Quincy Adding Machine,656
Kbir1,762
Holly Cheng,1133
HPN,614
Retired user 0001,728
Moondyne,903
Gloss,947
Second Quantisation,213
Giants27,975
Audacity,934
Magnoliahoward,526
LRG5784,721
ImGz,683
Darren Olivier,651
Winger84,641
Karl Dickman,991
FerricMix,350
Peter.C,817
Frank,1051
RiskAficionado,730
ObiterDicta,706
Jared,771
JRG,808
Sam Spade,845
Me,625
John Vandenberg,1086
Padfoot79,744
Jeandré du Toit,1022
Ben Moore,816
Indubitably,1119
JennKR,744
Jeni,953
IComputerSaysNo,694
Jimbo Wales,911
Potato185234,443
Jón,626
TheNewPhobia,766
Raichu,645
Jguk,802
Jftsang,712
Јованвб,537
VI,673
LatinoMuslim,887
Linshee,778
Deely,604
Lights,742
Chaser,1141
Perfect Proposal,683
Kevin Gorman,1030
LucasVB,716
RobertEves92,812
Lexiphyxia,376
Fran Rogers,894
Alexandria,1059
ΚΕΚΡΩΨ,613
Leki,562
Ikuzaf,813
Lanky,748
Richard D. LeCour,615
Leebo,918
Frosty,897
Silvestertaylor,708
David Levy,871
LGA,759
Jake Larsen,451
Logos,633
Coldupnorth,916
Ceranthor,1236
BendersGame,715
LuK3,1202
Chris G,864
Puffin,949
NatureA16,514
InfinityAndBeyond,628
Macy,844
Julia W,742
TimK MSI,743
Bine Mai,794
Snow Blizzard,776
Loiseaulybre,810
MDP23,975
Nug,796
Kurtis,891
MIDI,1144
Matthewrb,1027
Mav,827
MBisanz,1087
MDCollins,762
Polo,989
MelbourneStar,1103
Lofty abyss,960
TVHead,728
Mz7,1300
TheStrayCat,637
.mdk.,631
Chaetodipus,1036
Abminor,1129
Mira,541
Adnarim,381
Matthias Bauer,350
Lader Gwiader,443
piratesswoop,898
Shirik,1154
MartinHarper,771
Nard the Bard,823
Ulises Heureaux,588
NerdyScienceDude,1052
Nakon,1072
Nat,1029
La goutte de pluie,830
Fish and karate,1222
Keilana,1205
Vague,690
Phynicen,742
Mr. Wick,767
Nine Tail Fox,760
Tristessa de St Ange,835
Sciurinæ,727
RkOrton,711
Tnayin,514
NJA,1151
Alyo,1016
Ryoga Godai,831
Nv8200pa,1003
TheMandarin,615
Nanobear~enwiki,717
Instinct,1008
Olve Utne,659
ImperfectlyInformed,790
Orderinchaos,886
Lexicon,927
Osmanji,271
Noctibus,701
True Pagan Warrior,1010
WikiEditor2004,707
PonyToast,783
Per Honor et Gloria,783
PAustin4thApril1980,779
Premeditated Chaos,1025
Potočnik,773
SmthManly,766
Crisis,628
pablo X,911
CJinoz,942
P858snake,714
Zdravljica,508
Peep,584
Pepper,1059
PDH,900
Peter,828
Oliphaunt,579
Phoenix-wiki,814
Lexi Marie,757
Emarsee,730
Frood,1022
Pajz,720
Tamzin,1274
Polynomial123,508
Pmlineditor,991
Rustic,728
Bellerophon,925
Rjanag,1044
Polly,880
Porchcorpter,777
BranStark,884
Pratyya Ghosh,817
Spheromakquanta,444
The Red,642
