username,total_score
Coviepresb1647,525
Cprompt,623
Craigkbryant,492
CrazyChemGuy,691
Crazynas,848
Creation7689,641
Crested,N/A
Cribcage,574
Crispy1989,332
Croat,N/A
Croisés,N/A
Crotchety,108
Crusio,102
CryptoDerk,720
Cs,497
Cube,100
Cullen328,"1,042"
Cunard,"1,065"
CurranH,530
Cvene64,717
Cyan,648
CyclePat,737
Cyde,866
Cymsdale,505
Cyrius,915
Czolgolz,N/A
D-bot,512
DAJF,"1,025"
DCEdwards1966,846
DD2K,104
DF08,600
DGX,597
DHowell,729
DKNY89,192
DOSGuy,759
DUCKISJAMMMY,719
DaGizza,922
Dadude3320,103
Dafyd,541
Daisuke-Matsuzaka,191
Dalziel,286
Dan653,812
DanTheMan474,557
Dandy,100
Daniel,"1,282"
DanielCD,729
DanielT5,613
Danielross40,N/A
Dank55,103
Dante,N/A
Dar777,169
DarkAudit,961
Darkfox123,306
Darkspartan4121,517
Darth,N/A
Datheisen,106
Dave2,488
Daverocks,566
David.Mestel,735
DavidCary,707
DavidShankBone,N/A
Davidgothberg,847
Davidpk212,468
Davnel03,117
Dayewalker,858
Dbinder,N/A
Dbroadwell,627
Dcheagle,N/A
Dcsohl,470
DeadBot,476
Dean,100
Deathphoenix,"1,001"
Declan,312
Deeceevoice,736
Deepblue06,336
Defrosted,535
Deiz,975
Deliciously,300
DeltaQuad.alt,N/A
Demize,802
Dendodge,950
Denizz,104
Dentalplanlisa,610
DerHexer,"1,032"
Derild4921,716
Deryck,N/A
DesperateAngel,275
DevAlt,530
Dfrg.msc,854
Dharmabum420,576
Diannaa,N/A
Dicklyon,N/A
Diehard2k5,600
Difu,100
Dihydrogen,226
Dina,873
Dinosaur,115
Director33,145
DisillusionedBitterAndKnackered,934
Dittaeva,627
Djegan,816
Djskein79,376
Dlohcierekim's,N/A
Dmgultekin,475
DoRD,"1,004"
Doctor,N/A
Doczilla,"1,054"
Dojarca,638
Domer48,797
Domitius,456
Don4of4,677
Doncram,N/A
Doogie2K,498
Dorftrottel,701
Dorvaq,607
Dough4872,908
Dovi,642
Dozenist,689
Dr,N/A
Dr.Poison,471
DrHydeous,426
Dradin,269
Dragon695,575
Draicone,573
Drboisclair,684
Dream,N/A
Dreddnott,412
Drilnoth,N/A
Drmaik,633
Droll,739
DrumstickJuggler,670
Dsmdgold,811
Dtobias,936
Duja,904
DukeOfDuchessStreet,526
Dungodung,625
Dussst,525
Dustimagic,829
Dwaipayanc,969
Dwheeler,584
Dylandlima,420
DyslexicEditor,108
E104421,569
EEPROM,N/A
ERcheck,"1,183"
Eagle,N/A
Eahiv,107
Earth,763
Eatpeaches,152
EchetusXe,"1,011"
Eco,N/A
Ed-it,183
EdGl,795
Eddie6705,876
Edin,N/A
EditMan9000,102
Editorofthewiki,980
Edokter,841
Edward321,880
Eeekster,881
Efe,996
Egon,548
Eivind,485
Ekantik,635
ElBenevolente,700
Elbutler,N/A
Electriccatfish2,967
Elen,100
Elf-friend,729
EliasAlucard,690
ElisaEXPLOSiON,540
Elizmr,N/A
Elonka,"1,035"
Elucidate,611
Emir,N/A
Empoor,570
EnDaLeCoMpLeX,831
Encyclopedist,629
EngineerFromVega,527
EnigmaMcmxc,785
EnsRedShirt,706
Epbr123,N/A
Epthorn,626
Ereinion,N/A
EricR,N/A
Erik,"1,101"
Erikeltic,596
Erwin,574
Espresso,100
Estavisti,N/A
Estlandia,N/A
Ethan,495
Eubulides,687
EurekaLott,"1,097"
Euskera,473
Evan,100
Evercat,849
Evil,N/A
Ewlyahoocom,737
Excirial,N/A
Expensivehat,472
ExplorerCDT,N/A
Extraordinary,555
EyeSerene,940
F3rn4nd0,N/A
FGWQPR,547
Fabartus,806
Facethefacts,324
Fahadsadah,550
Fairfieldfencer,735
Fallout,N/A
Fan-1967,763
Farhansher,626
Fastily,"1,133"
Faustus37,783
Fbd,472
FeedThePigeons,139
Felix,100
Fences,102
Ferkelparade,694
Fetofs,694
FiachraByrne,737
Filmcom,564
Finalnight,756
FingersOnRoids,102
Finnrind,622
Firebat08,638
Fireplace,723
Fisenko,656
Fitzpatrickjm,543
Flailing,100
FlavrSavr,617
Flesh-n-Bone,644
Flightx52,626
Flooey,463
Floria,100
Flubeca,725
Fly,N/A
Flyingtoaster1337,640
FoeNyx,464
Folken,102
Forenti,660
Forgot,118
Foumidable,N/A
Foxy,100
Fram,N/A
FrancisTyers,721
Frank,"1,051"
Franzeska,432
Freakofnurture,862
Fredil,103
Freederick,626
Frehley,946
Freqsh0,598
Fridae'sDoom,104
Frieza,N/A
Froggy,116
FrozenPurpleCube,606
Fthepostingquota,321
Fumitol,908
Funky,N/A
Funpika,N/A
Future,N/A
Fuzheado,"1,188"
Fysidiko,192
G.A.S,749
GCFreak2,672
GHcool,802
GLFan151,146
GRider,609
GTBacchus,904
Gabriele449,103
Gadykozma,599
GainLine,822
GameKeeper,652
Gandalfxviv,499
Gangleri,139
Garamond,102
Gareth,715
Garlikguy2,441
Garykirk,103
Gator1,930
Gavin,N/A
Gb,N/A
Gears,N/A
Geedubber,478
General,108
GenghizRat,281
GentlemanGhost,949
Geoffspear,694
George,598
Georgian,N/A
Geronimo20,114
Gfol,100
Ghmyrtle,"1,100"
Gia.cossa,N/A
Giants27,975
Gigs,887
Gilgamesh,145
Gimboid13,700
Gimmiet,347
Girlwithgreeneyes,529
GlassCobra,"1,099"
Glrx,900
Gnetwerker,145
GoNINzo,216
Goddess,558
Gol,461
Goldblattster,103
Gonfaloniere,330
Goobergunch,712
Goodnightmush,"1,018"
Goplat,443
GordyB,740
Government07,N/A
Gracenotes,860
GrahamColm,N/A
Grandiose,636
Grapple,102
Graymornings,720
Greatuser,626
GreenJoe,666
GregAsche,855
Greglocock,812
Grendelkhan,818
Griffinofwales,578
Grog304,104
Groomtech,645
Grrrlriot,618
Grumpygrumpy,310
Gruznov,662
Gsingh,783
Guanaco,"1,065"
Guest9999,729
GuloGuloGulo,N/A
Gurchzilla,620
Gutworth,636
Gvorl,337
Gwern,898
Gwynand,546
Gzuckier,889
H92,530
HG,251
HMSSolent,944
Habap,707
Hadal,"1,003"
Haemo,871
Haiduc,664
Hajor,617
Halibutt,820
Hamedog,678
Hamster,N/A
Hans,N/A
Happy-melon,895
Happysailor,"1,095"
HarisM,531
Harlowraman,100
HarrisonB,604
Harthacnut,562
Hattusili,480
Havok,658
Hawstom,647
Hazardous,N/A
Hchc2009,567
Heah,723
Hedley,N/A
Heimstern,"1,124"
Hell,N/A
HelloAnnyong,"1,240"
Hemmingsen,639
"Hennessey,",N/A
Heptor,754
Hereford,612
Hermione1980,719
Hersfold,"1,200"
Hexagon1,106
Hfastedge,554
Hiberniantears,813
HighInBC,"1,086"
Hildanknight,760
Hinotori,522
HisSpaceResearch,953
Hjuk,106
Hoary,"1,041"
Hohohob,549
HollyAm,685
Homestar,N/A
Hoo,N/A
Horatio,597
Hornplease,742
Hosterweis,630
Hoverfish,701
Howee,289
Htonl,882
Hugahoody,102
Humain-comme,276
Huntster,"1,014"
Hurricanefan25,899
HussainAbbas,507
Hydroxonium,567
I%27ll,N/A
I.M.S.,552
IByte,722
IFaqeer,771
ILP,100
IP,N/A
IZAK,928
Iamthejabberwock,102
Ian159,238
Ianlopez12,N/A
IceUnshattered,737
Icestorm815,101
Ichbinbored,403
Idont,190
Igor,N/A
Ihcoyc,802
Il223334234,585
Ilmari,N/A
Imagine,36
Imjustmatthew,640
ImpalerBugz,482
Implificator,147
Imzadi1979,N/A
Incnis,N/A
Iner22,704
Infrangible,704
Inka,N/A
Insanephantom,626
Interiot,709
InvictaHOG,711
Ipromise,381
Iridescenti,N/A
Irismeister,429
IronGargoyle,N/A
Irunongames,106
Isarra,624
Isis4563,610
Islanders27,567
Isotope23,747
Itai,646
Iterator12n,N/A
Iuio,644
Izehar,844
J.,N/A
J04n,N/A
JBsupreme,715
JChap2007,N/A
JEBenson,178
JGHowes,"1,032"
JJay,704
JMS,N/A
JRA,884
JSIN,N/A
JYolkowski,891
Jac16888,"1,118"
Jack,810
JackSchmidt,757
Jackson,254
Jacoplane,865
Jahangard,581
Jakezing,474
Jamason,474
James500,"1,000"
Jamesite,238
Jamietw,874
Jareand,N/A
JarlaxleArtemis,705
Jason,115
Jasy,106
Javacava,532
Jaxfl,N/A
JayJ47,793
Jayen466,917
Jayvdb,104
Jbfraser,505
Jcam,530
Jcornelius,479
Jdforrester,988
Jeandré,N/A
JedOs,525
Jeeny,621
Jeffklib,446
Jehochman,"1,048"
Jenmoa,439
Jenuk1985,102
Jergen,811
Jersyko,777
Jesster79,655
Jewbacca,511
Jflash,223
Jguy,653
JiFish,618
Jim,403
Jimintheatl,468
Jimregan,570
Jiujitsuguy,475
Jklin,720
Jmh123,671
Jnavas,490
Jnothman,727
Joaquin,100
Jodykish,163
JoeSperrazza,887
Joelster,530
Johan,100
JohnCD,"1,189"
JohnWBarber,701
Johnman239,514
JohnnyMrNinja,827
Jojit,103
JonHarder,869
Jonathan235,N/A
Jonjonbt,N/A
Jor,625
Jorgenev,795
Joshii,673
Josie,132
Journalist,923
Joyous!,"1,173"
Jpgordon,972
Jredmond,860
Jsc83,541
Jsherman256,263
Jtmichcock,720
Juan,N/A
Judicatus,717
Juliancolton,"1,277"
Jump,N/A
JungleFuryPizza,301
Jusjih,790
Justen,403
Justinfr,767
Jweiss11,N/A
Jza84,836
K37,312
KC109,695
KIZU,N/A
KRS,507
Kablammo,973
Kahriman,N/A
Kaisershatner,933
Kalajan,N/A
Kaly99,708
KamrynMatika,453
Kanesue,612
Kanġi,N/A
KarateLady,477
Karimarie,553
Karrmann,615
Kasreyn,638
Katerenka,707
Kauffner,727
Kbdank71,914
Kcordina,835
Kedi,212
Keepscases,N/A
Keitei,654
Kelapstick,"1,207"
Kenatipo,531
Kenrick95,552
KerathFreeman,626
Kevin,"1,089"
Kewp,651
Kfc1864,528
Khashayar,124
Khodavand,454
Kiand,N/A
Kieran4,488
Kilbad,100
Killiondude,"1,086"
Kimchi.sg,"1,027"
Kinderboy,328
Kingoomieiii,760
Kintetsubuffalo,N/A
Kitia,637
Kjkolb,972
KleenupKrew,590
Kmccoy,696
Knepflerle,584
Knowledge,N/A
Knowzilla,109
Kober,920
Kokiri,622
Konstable,831
Kornfan71,640
Kotepho,608
Kraftlos,850
Krash,694
Krellis,714
Krisroe,275
Ks0stm,"1,300"
Ktsquare,773
Kudpung,"1,300"
KumiokoCleanStart,729
Kuratowski's,N/A
Kurykh,"1,116"
Kusunose,694
Kwekubo,837
Kyaa,N/A
Kyriakos,749
L'Aquatique,811
L337p4wn,732
LAX,785
LUCPOL,664
Labelledamesansmerci,132
Lahiru,0
Lalaitshannah,110
Lambiam,916
Lankiveil,"1,086"
Lar,940
Laser,100
LauraHale,N/A
Lawrence,100
Lcarsdata,531
Le,N/A
Lear's,N/A
LedgendGamer,804
Leflyman,718
Legoktm,"1,300"
Leidiot,676
LemonTwinkle,104
Leolisa1997,103
Leontopodium,N/A
Lesnail,730
Lethargy,624
Levine2112,N/A
LiberalFascist,105
Lifebaka,932
LightGreenApple,102
LikeLakers2,818
Limeheadnyc,603
Lindentree,432
Link9er,N/A
Lion,100
Liquidluck,776
LiteralKa,726
LittleOldMe,805
Littleteddy,627
Llama,133
Lobojo,589
Locos,N/A
Logologist,590
Lomn,715
Longbow4u,538
Looper5920,901
LordPiratez,268
Lordkinbote,620
Lostintherush,105
LouI,624
Lovecoconuts,301
Lowkeyvision,434
LuK3,"1,202"
Lucid,668
Lucky102,817
Lucy-marie,716
Luigi30,732
Luka,N/A
Lukejon1995,268
Luna,100
LurkingInChicago,602
Lwarf,104
Lysy,712
M'encarta,757
M3tal,108
MBisanz,"1,087"
MESJ,115
MJCdetroit,729
MPD01605,634
MSJapan,775
MZMcBride,N/A
MacMad,N/A
Maclean25,909
Macys123,N/A
Maddie!,631
Madyasiwi,246
Magiciandude,"1,052"
Mahanga,920
Mainemainer,111
Makalp,664
Malc82,710
Malepheasant,N/A
MalikCarr,528
Malleus,184
Mandarax,N/A
Mangojuice,995
Manning,N/A
Manticore,868
MarSch,727
Marcika,717
Marcsin,530
Mardavich,697
Mariano,105
Mario1987,N/A
Mark91,103
MarkSweep,938
Markovich292,606
Markussep,N/A
Marsden,423
Martin,N/A
Martinp23,N/A
Marudubshinki,945
Maser,N/A
Master,110
Masterhomer,653
Materialscientist,N/A
MathewTownsend,692
Mathx314,439
Matt,100
MattWright,609
Matthew,809
Matthewrbowker,N/A
Mattopaedia,612
Mauler90,820
Maverick,100
MaxSem,868
Maximusnukeage,553
Mayur,708
Mbhiii,691
McJeff,747
Mcfly85,473
Mdchachi,473
Mecu,N/A
Meelar,986
Megamix,466
Mehrshad123,456
MelForbes,427
Melchoir,"1,060"
Melsaran,886
Memty,547
Mentifisto,N/A
Merecat,673
Merovingian,933
Messedrocker,103
Metasquares,556
Metros235,107
Meursault2004,635
Mgreenbe,633
Miamomimi,N/A
MichaelBillington,836
Michaelh2001,898
Michig,"1,049"
Microtonal,639
Mido,461
MightyWarrior,873
Mike.lifeguard,706
Mike5193,607
MikeLowryBadBoys,126
Mikedk9109,N/A
Mikkerpikker,N/A
MilesAgain,534
Milo,207
Mind,117
Mindraker,669
Miniapolis,"1,118"
Minos,110
Mira,541
Mirv,896
Misou,474
Mista-X,670
MisterWiki,100
Mitchazenia,"1,020"
Mizu,N/A
Mkamensek,535
Mlaffs,N/A
Mmeinhart,573
Mno,556
Mobile,N/A
Moeffju,3
Moink,642
Molobo,659
Moneya,528
MonkeeSage,544
Monomium,140
Montanabw,"1,127"
MoodyGroove,664
Moondance2607,145
Moosh88,646
Moreschi,878
Morning,N/A
Moshe,108
Mozasaur,725
Mr.,100
MrDolomite,905
MrMarkTaylor,100
MrSomeone,539
Mrathel,769
Mrlob,322
Mrprada911,100
Mrtea,595
Mtmdem,460
Mugginsx,701
Multixfer,841
Muriel,113
MusicMaker5376,681
Muéro,681
Mxcatania,592
Myanw,633
Myosotis,N/A
MyspaceMan12,378
Mzajac,983
N5iln,"1,046"
NDCompuGeek,720
NJA,"1,151"
NSD,N/A
NTox,935
NYMets2000,650
Nadav1,734
Nahallac,N/A
Nancy,"1,016"
Naoy5,227
Nascar1996,757
Natalie,100
Nathan256,250
Natkeeran,553
Nauticashades,673
Navou,N/A
Ncrown23334,242
Necrothesp,N/A
Neil,103
NellieBly,899
NeoThermic,501
Nepenthes,654
Nergaal,729
Nethgirb,455
Networked.frog,134
Neutral,N/A
Nev1,870
NewYorkDreams,510
Newsmare,446
Nezzadar,667
Nichalp,927
Nick-D,"1,095"
NickW557,"1,034"
Nickptar,771
Nifboy,815
NigelR,640
Nihil,100
NikoSilver,756
Nilotpal42,N/A
Nina-no,409
NintendoFan,787
Nishidani,839
Nixeagle,851
Njaard,477
Nn-user,140
No31328,348
Nobody,N/A
Noetica,551
Noisy,710
Nolelover,N/A
NonvocalScream,776
Noraft,745
Noroton,809
Northenglish,N/A
NossB,430
Nouniquenames,692
Novasource,596
Noypi380,705
Nscheffey,618
NuclearWarfare,"1,212"
Number,N/A
Nunquam,N/A
Nvineeth,103
NymphadoraTonks,618
Nzgabriel,491
OMCV,635
Oberiko,794
Obradovic,N/A
Ocaasi,944
Oculi,N/A
Oden,662
Oge,N/A
Ohmpandya,N/A
Okip,N/A
Oldadamml,N/A
Oldwindybear,N/A
Oliver202,N/A
Olve,N/A
Omer123hussain,N/A
Omniplex,N/A
Onco,N/A
Oneupthextraman,N/A
Onorem,N/A
Opabinia,N/A
Optigan13,N/A
Orangemarlin,N/A
Orderinchaos,N/A
Orfen,N/A
Orlady,N/A
Orsini,N/A
Osarius,N/A
Osidge,N/A
Ostap,N/A
Otolemur,N/A
Otto,N/A
Outriggr,N/A
Oxguy3,N/A
P.B.,N/A
P0lyglut,N/A
PCHS-NJROTC,N/A
PHDrillSergeant,N/A
PJM,N/A
PMLF,N/A
PRiis,N/A
PSWG1920,N/A
PXk,N/A
Pablothegreat85,N/A
Padraig,N/A
Pairadox,N/A
Palestine48,N/A
Pamri,N/A
Panyd,N/A
Paradoxsociety,N/A
Parent5446,N/A
Paroxysm,N/A
Parthian,N/A
Pascal.Tesson,N/A
Passw0rd,N/A
Patchouli,N/A
Patman2648,N/A
Patriot8790,N/A
Paukrus,N/A
Paulmnguyen,N/A
Pax:Vobiscum,N/A
Pdcook,N/A
Peaceman,N/A
PedanticallySpeaking,N/A
Pegasus,N/A
Pencefn,N/A
Pepper,N/A
Perfect,N/A
Peripitus,N/A
Persian,N/A
Pete.Hurd,N/A
PeterStJohn,N/A
Petesmiles,N/A
Pewwer42,N/A
Pgallert,N/A
PhGustaf,N/A
Pharos,N/A
Phgao,N/A
Philg88,N/A
Philosopher,N/A
Phoenix,N/A
Phresnel,N/A
Physicq210,N/A
Pianoman87,N/A
Pickbothmanlol,N/A
Pigsonthewing,N/A
Pilif12p,N/A
PinchasC,N/A
Pinkville,N/A
Pippu,N/A
Pixelface,N/A
Planetary,N/A
Plato,N/A
Plumcouch,N/A
Pmeleski,N/A
Poeloq,N/A
Pohta,N/A
Pol430,N/A
Polaron,N/A
Political,N/A
Pollinator,N/A
Poloyoe,N/A
Pondle,N/A
Poor,N/A
Porcupine,N/A
Postdlf,N/A
Powergate92,N/A
Prasi90,N/A
Premeditated,N/A
PrestonH,N/A
Primate,N/A
PrinceOfCanada,N/A
Prisonbreak12345,N/A
Probert,N/A
Profoss,N/A
Projectoxide,N/A
Prospider,N/A
ProveIt,N/A
PseudoOne,N/A
Psy,N/A
Pudeo,N/A
Pundit,N/A
Pure,N/A
Purplepox01,N/A
Pvara,N/A
Pyfan,N/A
QBorg,N/A
QmunkE,N/A
QuackGuru,815
Quantumobserver,793
Quasihuman,818
Quentin,N/A
Quill,624
Qweedsa,456
Qxz,830
R.,100
RAMChYLD,641
RFA,N/A
RG2,781
RJII,620
RN,N/A
RUL3R,741
RabidGavin,196
Rad,100
Radiant!,940
Radio,N/A
Raeky,795
Raggonix,102
Rahuloof,N/A
Rajithmohan,107
Rama,982
Rambo's,N/A
Ramtashaniku,213
Random,106
Randomran,603
Ranger,215
Rasillon,520
Ratel,722
Raven1977,857
RayAYang,725
Rayven,N/A
Rbj,491
Rdash,510
Real96,103
Reason,N/A
Recognizance,759
Red4tribe,526
RedZionX,N/A
Redfarmer,982
Redthoreau,686
Redxiv,773
Regan123,769
Rehevkor,857
Relata,N/A
Renesis,714
RepublicanJacobite,103
Resolute,917
Retiono,N/A
Reuvenk,702
Revolución,N/A
Rex071404,613
Reywas92,"1,011"
Rhobite,821
Rhythmnation2004,674
Richard,615
Richardpeterlyons148,N/A
Richmond96,745
Ricky81682,N/A
Rifleman,385
Riotrocket8676,712
Ritchie333,"1,300"
Rjanag,"1,044"
Rjm656s,608
Rkr1991,621
Rlest,590
Rmpfu89,458
Roadmr,561
RobScheurwater,100
RobertMfromLI,803
Robo,N/A
RobyWayne,746
RockManQ,111
Rockstar915,655
Rodsan18,635
Rogerd,"1,068"
Romanm,745
Ronabop,649
Ronk01,605
Roosa,104
Roseapple,497
Rotorcowboy,653
Rowdy,N/A
Royalmate1,577
Rrjanbiah,639
Ruairidi,219
Ruhrfisch,"1,014"
Rune.welsh,815
Russavia,734
Ruy,726
RyRy,N/A
Ryan57,N/A
Rydia,624
Ryulong,N/A
S.,N/A
S@bre,805
SD5,817
SJP,738
SLSB,546
SOPHIA,N/A
ST47,"1,205"
SWAdair,810
Saberwyn,806
Saedon,624
Saikiri,496
Salaskan,N/A
Salka,245
SaltyPig,511
Sam,835
SameDayService,218
Samuel,103
Sanbeg,628
Sandstein,N/A
Sango125,N/A
Saoshyant,642
Saravask,870
Sarge,214
Sasha,N/A
Sastrawan,439
Save,102
Sbowers3,919
Scarian,877
SchfiftyThree,855
Schneelocke,735
SchuminWeb,"1,020"
Schzmo,756
Scimitar,831
Scog,715
ScotchMB,N/A
ScottW,584
ScottyBoy900Q,660
Sd31415,700
Seal,N/A
SeanMack,594
Search4Lancer,674
Seb,518
Sebwite,911
Seddon,"1,108"
Seeeko,544
Seidenstud,776
Semifreddo,386
Sennen,N/A
Sephiroth,N/A
Serge,N/A
Serpent's,N/A
Sesshomaru,952
Seventy,N/A
Sfd1905,202
Shadow,N/A
Shadyaftrmathgunit,105
ShaleZero,441
ShaneKing,642
Shantanuo,223
Sharktopus,664
ShaunMacPherson,728
Shearonink,"1,120"
ShelfSkewed,N/A
Shereth,795
Shimeru,758
Shinealight2007,246
Shirahadasha,831
Shizane,685
Shojaijekhi,197
ShortJason,359
Shreevatsa,752
