,username,total_score,categ1,categ2,categ3,categ4,idx_PV
357,Adamcobb,532.0,,,,,5042.0
358,Adamfinmo,766.0,Lists,Law,Conspiracy theories,Media,3331.0
359,Adamsan,649.0,Archaeology,History,Geography,Culture,4359.0
360,Adashiel,954.0,Internet,Entertainment,Biography,Politics,2075.0
361,Addihockey10,898.0,Entertainment,Human behavior,Economy,Communication,1658.0
363,Addshore,1263.0,Education,Crime,Geography,History,562.0
364,AdiJapan,629.0,Language,Culture,Education,Humanities,4603.0
365,Aditya,747.0,Education,List,Animals,Sports,403.0
367,Adjkasi,100.0,,,,,5471.0
368,AdjustShift,902.0,History,Government,Military,Lists,157.0
369,Adjwilley,129.0,,,,,798.0
370,Adm58,469.0,Society,Technology,Arts,Places,7138.0
371,AdmiralTreyDavid,415.0,Music,Sports,Entertainment,Lists,6115.0
372,Admrboltz,1087.0,Transportation,Places,Infrastructure,Lists,727.0
373,Adnarim,381.0,History,People,Philosophy,Politics,
374,Adoptlesds,102.0,,,,,5083.0
375,Adraeus,627.0,Philosophy,Culture,Business,People,4934.0
376,Adrian,125.0,Science,Nature,Engineering,Lists,
377,AdrianTM,473.0,Culture,Language,Technology,Government,5231.0
378,Advanced,581.0,Technology,Education,Geography,Places,2784.0
379,Adwiii,554.0,Education,History,Lists,Geography,1805.0
380,Adz,631.0,Geography,,,,6480.0
381,Aecis,818.0,Sports,Lists,,,3307.0
382,Aegis,100.0,,,,,
383,Aeon1006,853.0,Nature,Entertainment,Technology,Other,1510.0
384,Aeonx,855.0,Health,Government,Economy,Society,2889.0
385,AerobicFox,787.0,Concepts,Health,Society,Culture,2834.0
386,Aervanath,1029.0,People,Religion,Politics,History,2132.0
387,Aestetix,190.0,Science,Knowledge,Economy,Philosophy,4716.0
388,Aeuio,441.0,Philosophy,Culture,Language,Lists,5847.0
389,Aeusoes1,757.0,Language,Culture,Other,,4378.0
390,Aeæ,399.0,Technology,Business,Entertainment,People,5547.0
391,Afil,831.0,Geography,Lists,Nature,Other,5216.0
392,Aflumpire,636.0,Sports,Society,Transportation,Politics,2820.0
393,After,100.0,,,,,
394,AfterHelper11,130.0,,,,,3964.0
395,Agamemnon2,812.0,Entertainment,Games,Military,Universe,2416.0
396,Agapetos,8.0,Culture,Geography,History,Society,
397,Agathoclea,1174.0,Government,History,Society,Travel,254.0
398,Agent,400.0,Entertainment,Music,People,Pop_Culture,
399,Agent 86,756.0,Law,Society,Entertainment,Education,175.0
400,AgentB1,188.0,Technology,Business,Internet,Other,4662.0
401,Ageo020,646.0,Entertainment,History,People,Politics,122.0
402,Agne27,805.0,Food_and_drink,Culture,History,Lists,2182.0
403,Agnte,699.0,Crime,History,Culture,Government,2366.0
404,Agoodperson,412.0,,,,,3544.0
405,Agriculture,521.0,Education,Geography,Society,Technology,4607.0
406,Agüeybaná,764.0,Politics,History,Culture,Entities,704.0
407,Ahodges7,531.0,,,,,5132.0
408,Ahoerstemeier,902.0,,,,,7361.0
409,Ahonc,713.0,Mathematics,Sports,Health,Mass media,1183.0
410,Ahunt,,Technology,Science,Internet,Entertainment,
411,Ahwaz,617.0,Politics,Culture,Nature,Society,6172.0
412,Aiden,100.0,,,,,2910.0
413,Aiken,224.0,Literature,Culture,People,Academics,
414,Aillema,502.0,Entertainment,Nature,Life,Science,2126.0
415,Aircorn,1022.0,Geography,Health,Biology,Sports,2224.0
416,Airodyssey,669.0,Transportation,Mass media,Economy,Safety,7028.0
417,AirplanePro,710.0,Military,History,Aviation,Technology,3616.0
418,Airplaneman,1250.0,Technology,Entertainment,Culture,Education,74.0
419,Ais523,778.0,Internet,Language,Religion,Philosophy,
420,Aitias,930.0,Culture,Economy,History,Fashion,397.0
421,Aivazovsky,755.0,Geography,Government,History,Society,5656.0
422,Aj00200,588.0,Law,Entertainment,Nature,Health,5705.0
423,Ajbpearce,103.0,,,,,1578.0
424,Ajm81,565.0,Weather,Mass media,Time,Environment,6155.0
425,Ajraddatz,1017.0,Government,Politics,History,Society,213.0
426,Akamad,668.0,Entertainment,People,Education,Sports,4431.0
427,Akendall,786.0,Business,Education,Geography,Technology,4991.0
428,Akhilleus,757.0,History,Philosophy,Literature,Military,951.0
429,Aknorals,589.0,Culture,Entertainment,Media,Lists,6678.0
430,Akradecki,924.0,Technology,Transportation,Aviation,Space,2829.0
431,Aktron,573.0,Economics,Law,Geography,Health,6217.0
432,Akut,558.0,Culture,Religion,Geography,Society,6448.0
433,Al-Qairawani,177.0,Religion,History,Society,Politics,3690.0
434,Alabamaslamma,102.0,,,,,5627.0
435,Alai,898.0,Religion,Philosophy,Education,History,489.0
436,Alan,490.0,Religion,History,Military,Lists,
437,Alan.ca,727.0,Geography,People,Government,Law,1888.0
438,Alan16,597.0,Sports,Entertainment,Literature,People,1258.0
439,AlanBarrett,498.0,Time,Nature,Disasters,Numbers,4013.0
440,Alanbly,734.0,Technology,Education,Virtual reality,Art,1375.0
441,Alanl,726.0,Aviation,Quorum,People,Typography,6211.0
442,Alanraywiki,102.0,,,,,6207.0
443,Alanscottwalker,863.0,United States History,Slavery,Culture,Parks,1449.0
444,Alanyst,685.0,Comics,Religion,People,Clothing,4119.0
445,Alarbus,636.0,Disasters,Transportation,History,Politics,5525.0
446,Alaric,390.0,Technology,Engineering,Logic,Physics,4412.0
447,Alasdair,923.0,Entertainment,Food and drink,Sports,Geography,1946.0
448,AlasdairEdits,692.0,Law,Government,Education,Information,
449,AlasdairGreen27,788.0,History,Economy,Government,Military,2546.0
450,Alastair,128.0,Communication,Culture,Society,Other,
451,Albacore,100.0,,,,,6470.0
452,Albatross2147,696.0,People,Entities,Geography,History,5108.0
453,Albedo,518.0,Science,Health,Art,Philosophy,5676.0
454,Albinomonkey,541.0,Sports,Technology,Lists,Business,7241.0
455,Alcidebava,443.0,,,,,7186.0
456,Aldux,933.0,History,Military,Politics,Religion,326.0
457,Alecmconroy,702.0,Religion,Law,Society,Other,4381.0
458,Aleenf1,912.0,Entertainment,Sports,Media,Economy,3193.0
459,Alensha,734.0,Geography,Lists,Government,Economy,3680.0
460,Alessandra,100.0,,,,,
461,Aleta,104.0,,,,,2334.0
462,Alethiophile,543.0,Entertainment,History,Science,Nature,3862.0
463,Alex,101.0,,,,,
464,Alex.muller,1056.0,Education,Technology,People,Travel,1677.0
465,Alex43223,901.0,Entertainment,Sports,Business,Law,469.0
466,AlexJ,584.0,Sports,Technology,Entertainment,Science,
467,AlexJFox,572.0,Mass media,Crime,Politics,Religion,3245.0
468,AlexNebraska,424.0,Geography,Economy,Society,Time,5681.0
469,AlexR,718.0,Concepts,Humanities,Philosophy,Culture,3397.0
470,AlexWaelde,787.0,Education,Nature,Sports,Arts,4238.0
471,Alexander,355.0,Philosophy,History,Law,Science,
472,AlexanderWinston,419.0,Language,Military,Other,Lists,7204.0
473,AlexandrDmitri,837.0,Entertainment,Food and drink,Culture,Travel,381.0
474,Alexandria,1059.0,Sports,Society,People,Entertainment,4396.0
476,Alexandros,626.0,Sports,Entities,Government,Geography,7394.0
477,Alexf,,Sports,Media,Technology,Lists,
478,Alexfusco5,100.0,,,,,780.0
479,Alexius08,997.0,Concepts,Society,Mass media,Economy,4225.0
480,AlexiusHoratium,,Geography,History,Military,Nature,
481,AlexiusHoratius,1044.0,,,,,496.0
482,Alexnia,100.0,,,,,4521.0
483,Alexsanderson83,534.0,Sports,People,Entertainment,Media,5780.0
484,Alexwcovington,744.0,Geography,Politics,Technology,Culture,7024.0
485,Alf.laylah.wa.laylah,914.0,,,,,2785.0
486,Alfakim,651.0,Entertainment,Science Fiction,Knowledge,Lists,6784.0
487,Algebraist,711.0,Mathematics,People,Places,Concepts,3997.0
488,Alhutch,817.0,Entertainment,Environment,People,Sports,358.0
489,Ali,721.0,Education,Technology,Mass media,Law,2248.0
490,Ali'i,586.0,Politics,Nature,Media and journalism,Society,1095.0
491,Ali-oops,100.0,,,,,3634.0
492,Alias,101.0,,,,,
493,Aliasd,648.0,Geography,Entities,Lists,Other,6934.0
494,Alibabs,370.0,Sports,Technology,Places,History,4808.0
495,Alinnisawest,779.0,Entertainment,Religion,Culture,Places,6306.0
496,AlioTheFool,544.0,Food and drink,People,Mass media,Geography,2175.0
497,Alison,1088.0,Health,Culture,Society,Politics,90.0
498,AlisonW,911.0,Transportation,Technology,Economy,Education,3972.0
499,AlistairMcMillan,941.0,,,,,2887.0
500,AliveFreeHappy,771.0,Law,Politics,Technology,History,2246.0
501,Alkivar,880.0,Culture,Entertainment,Internet,Sports,236.0
502,AllTalking,476.0,Entertainment,History,Society,Technology,6606.0
503,Allanon,519.0,Military,Nature,People,Time,3323.0
504,Allefant,634.0,Concepts,Engineering,Information,Technology,6152.0
505,Allemandtando,580.0,Concepts,Fiction,Philosophy,Science,2571.0
506,Allen3,974.0,Business,Food and drink,Government,History,2349.0
507,Allgoodnamesalreadytaken,338.0,,,,,6465.0
508,Allmightyduck,806.0,Culture,Entertainment,Internet,Other,1266.0
509,Allstarecho,963.0,Geography,People,Sports,Society,2087.0
510,Allthedamnnamesaretaken,165.0,,,,,5931.0
511,AllyUnion,862.0,Culture,Education,Government,Military,2982.0
512,Almost,100.0,,,,,
513,Alnokta,601.0,Science,Chemistry,Biology,Engineering,4253.0
514,Alokprasad84,623.0,Politics,History,Economy,Society,5800.0
515,Alphachimp,1009.0,Education,Geography,Transportation,Health,192.0
516,Alphax,679.0,Technology,Military,Computing,ASCII,438.0
517,Alpta,518.0,Business,Telecommunications,Entertainment,Technology,6951.0
518,Altamel,1042.0,Space Exploration,Agriculture,Government,Tourism,5085.0
519,Altenmann,,Culture,Historical Figures,Soviet Union,Beverages,
520,Alterego,579.0,Psychology,Religion,Software,Demographics,4995.0
521,Alteripse,680.0,Health,Medicine,Endocrinology,Surgery,3333.0
522,Alton,641.0,Music,University,Video Games,Composition,3158.0
523,Altosax456,596.0,Geography,Lists,Nature,Science,6310.0
524,Altruism,677.0,Culture,History,Politics,Society,3364.0
525,Alx-pl,517.0,Literature,Military,Time,Other,5116.0
526,Alynna.Kasmira,3.0,,,,,7069.0
527,Alyo,1016.0,Entertainment,Sports,Video games,Music,
528,Alzarian16,728.0,Entertainment,Transportation,Sports,Business,787.0
529,Amadscientist,162.0,Travel,Places,People,Other,1626.0
530,Amalas,702.0,Arts,Philosophy,Literature,Animals,3444.0
531,Amalthea,1064.0,Entertainment,Music,People,Fashion,1084.0
532,Amanniste,421.0,Art,Technology,Culture,Media,2688.0
533,Amarkov,792.0,Games,Entertainment,Internet,Knowledge,246.0
534,Amatulic,106.0,,,,,1555.0
535,Amazon10x,465.0,History,Politics,Science,Music,7229.0
536,Amberrock,937.0,Music,Entertainment,,,
537,Ambuj.Saxena,790.0,Education,Government,Technology,Geography,680.0
539,Amcbride,750.0,Culture,Politics,Health,Entertainment,1300.0
540,Amcfreely,609.0,Philosophy,Law,Sports,Technology,3750.0
541,AmeIiorate,106.0,,,,,1896.0
542,Ameliorate!,881.0,Entertainment,Life,People,,1045.0
544,America69,602.0,Politics,Economy,Society,Time,27.0
545,AmericanJohn33,108.0,,,,,7448.0
546,Amerique,677.0,Education,Geography,Information,University,1320.0
547,Amgine,552.0,Religion,History,Language,Military,2150.0
548,AmiDaniel,927.0,Culture,Entertainment,Geography,People,670.0
549,Amir1,422.0,Religion,History,Society,Other,7372.0
550,Amir85,619.0,History,Military,Nature,Culture,6903.0
551,Amire80,952.0,Language,Culture,Art,Education,5653.0
552,Amitrochates,687.0,Culture,History,Entities,Education,
553,Amoruso,728.0,Geography,Government,History,Politics,2684.0
554,Amorymeltzer,1191.0,Literature,Science,Health,Entertainment,379.0
555,Amphytrite,591.0,Music,Health,Arts,Media,3354.0
556,Amren,605.0,Technology,Games,Society,Dystopia,3357.0
557,Ams80,478.0,Philosophy,Economy,Zionism,Culture,7409.0
558,AmusedRepose,589.0,Economics,Law,Health,Environment,2073.0
559,Amynewyork4248,477.0,People,Law,Entertainment,Media,4941.0
560,An,100.0,,,,,
561,AnOddName,662.0,Games,Entertainment,Media,Technology,4992.0
562,Anachronist,1256.0,Food and drink,Business,Philosophy,History,
563,Anakin101,652.0,Time,Internet,Mass media,Geography,3505.0
564,AnakngAraw,711.0,Culture,Society,Religion,History,5826.0
565,Anbu121,991.0,Geography,Economy,Entities,Infrastructure,2317.0
566,Ancapp,102.0,,,,,1205.0
567,Anchoress,705.0,Health,Human behavior,Technology,Science,2526.0
568,Ancient,100.0,,,,,
569,Anderson,703.0,Science,Technology,Universe,Other,
570,Andewz111,120.0,,,,,5336.0
571,AndieM,125.0,,,,,3372.0
572,Andonic,1058.0,Concepts,Engineering,Entertainment,Time,5013.0
574,AndonicO,102.0,,,,,457.0
575,AndreNatas,593.0,Politics,Law,Ancient history,Religion,1844.0
576,Andrea105,652.0,Arts,Crime,Nature,Biography,2342.0
577,AndreasWashington,164.0,Science,Culture,Business,Technology,6644.0
578,Andreasegde,707.0,Music,Entertainment,Biography,Group,6588.0
579,Andrensath,568.0,Technology,Entertainment,Software,Universe,3291.0
580,Andrevan,1183.0,History,Entertainment,Economy,Philosophy,166.0
581,Andrew,100.0,,,,,
582,Andrew Gray,1066.0,Military,Science,Technology,Education,1680.0
583,Andrew Su,624.0,Health,Information,Knowledge,Science,
584,Andrew4010,416.0,Science,Entertainment,People,History,4097.0
585,Andrew73,641.0,Health,Medicine,Education,Society,4961.0
586,AndrewGNF,102.0,,,,,6777.0
587,AndrewHowse,690.0,Sports,Business,Media,Lists,6366.0
588,AndrewN,765.0,Culture,History,People,Entertainment,3146.0
590,Andrewa,917.0,Music,Instruments,Noise in music,Technology,6647.0
591,Andrewman327,1017.0,Religion,Crime,Military,Business,4785.0
592,Andries,671.0,Religion,Philosophy,Criticism,Other,3182.0
593,Andris,712.0,Geography,History,Politics,Sports,3797.0
594,AndriyK,516.0,Language,Architecture,Society,People,4107.0
595,Android,100.0,,,,,
596,Android79,796.0,Biography,Politics,Entertainment,Culture,986.0
597,Andromedabluesphere440,747.0,,,,,749.0
598,Andrwsc,904.0,Sports,Lists,History,Society,3431.0
599,Andrzej18,526.0,People,Entertainment,Culture,Geography,5620.0
600,Andy,640.0,Politics,Geography,Transportation,Mass media,
601,Andy4789,106.0,Technology,Geography,,,4865.0
602,AndyFinkenstadt,441.0,Politics,History,Military,Philosophy,3142.0
603,AndySimpson,700.0,Politics,Government,History,Social sciences,
604,AndyTheGrump,954.0,Law,Economy,Science,Philosophy,4786.0
605,AndyZ,771.0,History,Nature,Society,Life,1807.0
606,Andylkl,615.0,Entertainment,Disaster,Culture,Sports,2400.0
607,Andypandy.UK,821.0,Technology,Entertainment,Health,Education,197.0
608,Anecdote,438.0,,,,,2230.0
609,AnemoneProjectors,,Entertainment,Lists,Mass media,Culture,
