username,total_score
Enkil,N/A
Enviroknot,313
Epicgenius,N/A
Equendil,786
Eric,859
Ericg,565
ErikHaugen,"1,045"
Errabee,571
Eskimospy,531
Esrever,872
Esteffect,100
Etacar11,660
Etineskid,731
EugeneZelenko,554
EurowikiJ,430
Euthymios,420
Evanh2008,942
Evermore2,632
Evilgohan2,840
ExRat,918
Executor,N/A
ExplicitImplicity,560
Extra999,861
Extremepro,787
Ezhiki,N/A
FCYTravis,N/A
FNMF,541
Fabrib,621
Fadix,584
Fail,104
Faithlessthewonderboy,972
Falphin,723
Fangz,760
Fasach,0
Fatal!ty,545
Fawcett5,943
Fbv65edel,783
Feezo,"1,186"
FellowWikipedian,532
Ferddog,454
Ferrylodge,N/A
Feydey,"1,050"
Filiocht,633
Filnik,502
Fineday,247
Finlay,422
Fire,100
Fireduck,207
Firsfron,"1,061"
Fishboy,246
Fixman,611
Flaming,717
FleetCommand,775
Flex,778
Floaterfluss,644
Floquenbeam,"1,189"
Floul1,720
FluffyPug,318
Flyguy649,"1,025"
Fneep,432
Folajimi,689
Footyfanatic3000,638
ForestH2,660
Fortunecookie289,538
Fowler&fowler,907
Fr33kMan,N/A
Franamax,858
Francium12,100
FrankWilliams,681
Frazzydee,846
Fred.e,528
Fredrik,719
FreelanceWizard,646
French,N/A
Fribbler,757
FriedMilk,601
Frise,430
Frood,"1,022"
FrummerThanThou,709
Fuelbottle,582
Funandtrvl,N/A
FunnyMan3595,N/A
Furon,N/A
FutureNJGov,N/A
Fvasconcellos,N/A
Fæ,N/A
GAThrawn22,N/A
GDonato,N/A
GIen,N/A
GO-PCHS-NJROTC,N/A
GSK,N/A
Gabbec,N/A
Gadfium,N/A
Gaff,N/A
Gallaghp,N/A
Gamer28,N/A
Gandydancer,N/A
GangstaEB,N/A
Garden,N/A
Gargaj,N/A
Garrondo,N/A
Garzo,N/A
Gavbadger,N/A
Gaz,N/A
Gcbirzan,N/A
Ged,N/A
Gen.,N/A
GeneralIroh,N/A
Geniac,N/A
Geo.plrd,N/A
Geohevy,N/A
GeorgeMoney,N/A
Geraldk,N/A
Get-back-world-respect,N/A
Gggh,N/A
Ghostbusters,N/A
Giano,N/A
Giftiger,N/A
GilbertoSilvaFan,N/A
Gilliam,N/A
Gimme,N/A
Ginkgo100,949
Gkhan,N/A
Glenfarclas,867
Gmaxwell,760
Gnowor,N/A
Goatasaur,567
Goethean,918
GoldDragon,493
Goldensun,104
Gonzo,N/A
GoodCop,407
Goodshoped35110s,596
GordonWatts,520
Gosgood,637
Gpyoung,524
GraemeL,"1,026"
Graibeard,638
Grandmasterka,102
Gravitan,610
Grcampbell,N/A
Green451,701
Greenmountainboy,200
GregNorc,359
Greier,555
Gretab,432
Grim23,805
Gromlakh,917
GroovySandwich,706
Grubber,713
GruntiIda,114
Gryllida,844
Gtdp,717
Gubbubu,557
Guinnog,113
Gungadin,812
Gurubrahma,875
Guycalledryan,704
Gwandoya,612
Gwguffey,580
GyroMagician,604
H2O,N/A
HAL2008,N/A
HIZKIAH,455
HPJoker,503
Haber,565
Hadžija,593
Haham,N/A
Hairchrm,549
Hal,N/A
Hallows,N/A
Hammer1980,"1,049"
HandiGoatMasala,112
Hanuman,240
HappyCamper,930
Hardtofindaname,579
Harland1,831
Harpchad,524
Harry,100
Hassocks5489,826
Haukurth,976
Hawkestone,656
Haymaker,641
Hazir,549
Hdt83,989
Heather,662
Heidijane,506
Hekerui,834
HellinaBucket,170
Heltec,382
Hendry,417
Henry,120
Heraclius,584
HerkusMonte,713
Heron,771
Hestiaea,223
HeyNow10029,526
Hhhippo,658
Hiddenhearts,628
Highfields,634
Hillman,662
Hirak,N/A
Hit,N/A
Hlj,780
Hobbeslover,152
Hokeman,669
Holy,N/A
Homunculus,627
HooperBandP,539
Horlo,482
Hort,N/A
HotHat,735
Howabout1,607
Hpfan9374,N/A
Huaiwei,854
Hughesdarren,"1,000"
Humblefool,641
Hurricane,N/A
HuskyHuskie,674
Hydnjo,684
Hyperbole,545
I'm,N/A
I@n,N/A
IComputerSaysNo,694
II,N/A
IMatthew,104
IRWolfie-,N/A
Iain99,903
Iamzodyourzodeveryzod,298
Ianblair23,931
Icairns,846
Iceflow,103
Icewolf34,499
Icseaturtles,746
Ifnord,"1,047"
Igorberger,616
Ikh,704
Ilikepie2221,671
Ilyanep,796
Imdaking,608
Immunize,900
ImperfectlyInformed,790
Improfane,192
InDeBiz1,N/A
Indiver,387
Infinity0,640
Ingoolemo,N/A
Inks.LWC,967
Inter,978
Intoronto1125,883
Ioeth,"1,109"
Irbisgreif,742
Iriseyes,492
Irmgard,647
Irongargoyle,111
Isaacsf,N/A
Isentropiclift,454
Islaammaged126,575
Isolani,698
It,N/A
Italick,428
Itfc+canes=me,610
IvoShandor,838
J,230
J.Steinbock,542
JASpencer,925
JCDenton2052,635
JD,446
JForget,"1,100"
JHunterJ,950
JLDW,393
JP06035,N/A
JRM,730
JStewart,593
Jaakobou,744
Jachin,704
Jack1956,"1,026"
Jackieboy87,524
Jackyd101,826
Jafeluv,"1,001"
Jaimaster,479
Jakken,481
James.Spudeman,523
JamesLucas,835
Jamesontai,952
Jan,100
Jareha,806
Jarry1250,"1,030"
Jasont82,N/A
Jauerback,"1,112"
Javert,813
Jay*Jay,346
JayLeno175,553
Jaymacdonald,321
Jbamb,558
Jboyle4eva,419
Jccort,587
Jd027,N/A
JeLuF,536
Jeanne,106
Jedd,N/A
Jeff,0
Jeffrey,N/A
Jengod,904
Jennavecia,N/A
Jeremjay24,715
Jerrch,693
Jespinos,554
Jet123,104
Jezhotwells,985
Jgmikulay,628
Jhbuk,688
Jibran1,467
JimMillerJr,748
JimmyBlackwing,754
Jishacj,586
Jj98,N/A
Jmajeremy,856
Jmlk17,963
Jni,942
JoJo,502
Jock,437
Joe,100
Joeferret,146
Joey.thompson@gmail.com,N/A
John,N/A
JohnFromPinckney,854
Johnfos,797
JohnnyAlbert10,644
Johnson542,N/A
Jokestress,916
JonasEncyclopedia,100
Jonathunder,902
Jontsang,N/A
Jord,767
Josette,679
JoshuaKuo,632
Jossifresco,N/A
Jovanvb,N/A
Jozal,102
Jprg1966,"1,124"
Jriddell,289
Jscott,365
Jsmith86,589
Jtrainor,750
Juansidious,618
Jujutacular,"1,006"
Julius,N/A
June,N/A
Juntung,620
JustGettingItRight,385
Justin,645
Jute,N/A
Jwrosenzweig,804
Jón,626
KAS,457
KFP,945
KNM,594
KSmrq,622
Kafziel,933
Kaibabsquirrel,604
Kaiwhakahaere,533
Kalathalan,639
Kama,395
Kanatonian,866
Kangie,671
Kappa,706
Kareeser,723
Karmafist,825
Karwynn,476
Katarighe,100
Kathryn,N/A
Kayau,884
Kbrose,713
KeYYeK,245
Keegan,"1,084"
Keesiewonder,715
KeithD,716
Kelly,804
Kennedygr,101
KensingtonBlonde,393
Kerotan,671
Kevin12xd,864
Keystoneridin,717
Khalif,373
Khazar2,N/A
Khorshid,697
Kickstart70,727
Kierzek,828
Killerofkiller,173
Kilopi,615
KimvdLinde,N/A
King,N/A
Kingrock,N/A
Kirachinmoku,N/A
Kittybrewster,851
Kkrouni,530
Kleopatra,536
Kmorozov,687
KnightLago,"1,035"
KnowledgeOfSelf,911
Knuckle,N/A
Kodster,651
Kolokol,501
Kookykman,706
Korruski,674
Kpalion,894
Kralizec!,"1,151"
Krator,737
Kribbeh,605
Krm500,763
Kscottbailey,N/A
Kubek15,892
KuduIO,746
Kung,N/A
Kurieeto,585
Kushan,105
Kuzaar,752
Kwsn,102
Kylu,752
Kzrulzuall,N/A
L0b0t,707
L33tminion,677
LOL,592
LWF,708
Lady,N/A
Lakers,725
Lambanog,605
Lan3y,114
Lankybugger,N/A
LaraLove,103
Latebird,748
Laurinavicius,640
Lazulilasher,944
Ld,771
LeadSongDog,914
Lecen,623
Leebo,918
LegCircus,616
Legolost,464
Leifern,746
Lenticel,917
LeonWeber,129
Lerdthenerd,877
LestatdeLioncourt,612
Letsdrinktea,100
Leyo,930
Lid,848
Lifeisunfair,103
Lightmouse,623
Lil-unique1,"1,058"
Linas,765
Ling.Nut,N/A
Linuxbeak,N/A
Lionmadness,N/A
Lisasmall,N/A
Lithistman,N/A
Littlealien182,N/A
Liveste,N/A
Llywrch,N/A
Location,N/A
Loganberry,N/A
Lokyz,N/A
Londonfella,N/A
Looie496,N/A
LordHarris,N/A
LordSunday,N/A
LoriLee,N/A
Lostvalley,N/A
Lova,N/A
Lovetinkle,N/A
Lradrama,N/A
Lucasbunchi,N/A
LuciferTiger,N/A
LuckyLouie,N/A
Ludraman,N/A
Luis,N/A
Lukasz,N/A
Lukep913,N/A
Lunar,N/A
Lustralaustral,N/A
Lyellin,N/A
Látches,N/A
M.O.X,N/A
M7it,N/A
MC10,N/A
MHLU,N/A
MLauba,N/A
MPerel,N/A
MVOO,N/A
Mabdul,N/A
MacRusgail,N/A
Macromonkey,N/A
Madchester,N/A
Madman,N/A
Maestrosync,N/A
Magnus,N/A
Maidahl,N/A
Mais,N/A
Makemi,N/A
MalcolmGin,N/A
Malfidus,N/A
Malke,N/A
Malo,N/A
ManekiNeko,N/A
ManiF,N/A
Manojlo,N/A
Manway,N/A
Marauder40,N/A
Marco,N/A
Marcus2,N/A
Mareino,N/A
Marie,N/A
MariusM,N/A
MarkBeer,N/A
Markerdryer,N/A
Marktheprices,N/A
MarmadukePercy,N/A
Martial,N/A
MartinRe,N/A
Martintg,N/A
Marx01,N/A
Masonpatriot,N/A
MasterEagle,N/A
Masterpiece2000,N/A
MathKnight,N/A
Mathsci,N/A
Matilda,N/A
Matt319,N/A
Mattbuck,N/A
MatthewFenton,N/A
Mattinbgn,N/A
Matty,N/A
Maurreen,N/A
Mawfive,N/A
Maximaximax,N/A
Maxschmelling,N/A
Mb1000,N/A
Mbisanz,N/A
Mccready,N/A
Mcstcisco,N/A
Mdd4696,N/A
Medtopic,N/A
Megaboz,N/A
Megapixie,N/A
Meisfunny,N/A
MelbourneStar,N/A
Meldshal42,N/A
Member,N/A
Mendaliv,N/A
Mentoz86,N/A
Merkinsmum,N/A
Merzul,N/A
Metagraph,N/A
Meteoroid,N/A
MetsFan76,N/A
Mfield,N/A
Mhking,N/A
Micahmn,N/A
MichaelQSchmidt,N/A
Michaelzeng7,N/A
Mickeystern,N/A
Midgley,N/A
Mietchen,N/A
Mihnea,N/A
Mike1024,N/A
MikeBeckett,N/A
MikeWattHCP,N/A
Mikereichold,N/A
Milan,N/A
Milk's,N/A
Milowent,N/A
Minderbinder,N/A
MindstormsKid,N/A
Minimac94,N/A
Minun,N/A
Miranda,N/A
Mishauli,N/A
Missing,N/A
Mister1nothing,N/A
Mistress,N/A
Mitrius,N/A
Mjchesnel,N/A
Mkdw,N/A
Mm40,N/A
Mms,N/A
Mo0,N/A
Modemac,N/A
Moffedille,N/A
Mojska,N/A
Momento,N/A
Moni3,N/A
Monkeyman,N/A
Monor,N/A
Montenegro,N/A
Moon,N/A
Moonriddengirl,N/A
Morbidthoughts,N/A
Morgankevinj,N/A
Morton,N/A
Mostlyharmless,N/A
Mpdelbuono,N/A
Mr.Z-man,N/A
MrFish,N/A
MrOllie,N/A
MrWhich,N/A
Mrfixter,N/A
Mrmattkatt,N/A
Mrs.EasterBunny,N/A
Mscuthbert,N/A
Mu301,N/A
Mujinga,N/A
Murcielago,N/A
Mus,N/A
Mustafa,N/A
Mwanner,N/A
My76Strat,N/A
MykReeve,N/A
Myrtone86,N/A
Mysterytrey,N/A
N,N/A
NAHID,N/A
NEMT,N/A
NLinpublic,N/A
NSLE,N/A
NW's,N/A
Nableezy,N/A
Nae'blis,N/A
Naja,N/A
Nandesuka,N/A
Narson,N/A
Nat,N/A
Natalya,N/A
Nationalparks,N/A
Natsayhi,N/A
Naveenbm,N/A
Nawsum526,N/A
NealIRC,N/A
Ned,N/A
NeilN,N/A
NeoChaosX,N/A
Neotarf,N/A
Neranei,N/A
Neskaya,N/A
Netoholic,N/A
Neurolysis,N/A
Neutrality,N/A
Nevermind2,N/A
Newnoise,N/A
Next,N/A
Ngb,N/A
NicholasTurnbull,N/A
NickBall,N/A
NickelAndDime,N/A
Nico,N/A
Nifky?,N/A
NightDragon,N/A
Nihonjoe,N/A
Nil,N/A
Nimbus227,N/A
Nineteenninetyfour,N/A
Nips,N/A
Niteowlneils,N/A
Nixwisser,N/A
Nk.sheridan,N/A
Nneonneo,N/A
NoPuzzleStranger,N/A
Nobugs,N/A
Nohat,N/A
Nol888,N/A
Nomader,N/A
Nookdog,N/A
Norm,N/A
North8000,N/A
NortyNort,N/A
Notafish,N/A
NovaDog,N/A
Novice7,N/A
Npnunda,N/A
Nsk92,N/A
Nufy8,N/A
Numskll,N/A
Nutarama,N/A
Nycmstar,N/A
Nyttend,N/A
O.B.,N/A
OSU80,N/A
Oberst,N/A
ObsidianOrder,N/A
Occuli,N/A
Oda,N/A
Off!,N/A
OhanaUnited,N/A
Ohnoitsjamie,N/A
Olaf,N/A
OldakQuill,N/A
Olei,N/A
OllieFury,N/A
Omega735,N/A
Omicronpersei8,N/A
Omulazimoglu,N/A
Onebravemonkey,N/A
Only,N/A
Onthost,N/A
OpenTheWindows,N/A
OptimistBen,N/A
Orangesodakid,N/A
Oren0,N/A
Orioane,N/A
Orphan,N/A
Orthologist,N/A
Oscarthecat,N/A
Osmanjunaid,N/A
Otherlleft,N/A
Ottawa4ever,N/A
Ottre,N/A
OverlordQ,N/A
Oysterguitarist,N/A
P.K.Niyogi,N/A
P4k,N/A
PDH,N/A
PIO,N/A
PMA,N/A
POY,N/A
PS.,N/A
PTR,N/A
Pablo,N/A
PaddyLeahy,N/A
Pagrashtak,N/A
Pal,N/A
Pally01,N/A
Panda,N/A
Paolo,N/A
Parallel,N/A
Parker007,N/A
Parsecboy,N/A
Partylikeahatunicorn,N/A
Pass,N/A
Pastor,N/A
Patitomr,N/A
PatrickA,N/A
Patsw,N/A
PaulVIF,N/A
Pavlvsrex,N/A
Paxse,N/A
Pdfpdf,N/A
Peachypoh,N/A
Pedro,N/A
Pejman47,N/A
Pentawing,N/A
Pepsidrinka,N/A
Peridon,N/A
Permethius,N/A
Peruvianllama,N/A
Peteforsyth,N/A
PeterbrownDancin,N/A
PetraSchelm,N/A
Pfctdayelise,N/A
Pgk,N/A
PhantomS,N/A
Phaunt,N/A
Phil153,N/A
PhilipO,N/A
Phils,N/A
Phoenix2,100
Phroziac,N/A
Pi,865
Picaroon9288,N/A
Piemanmoo,103
Pikiwyn,844
Pill-,N/A
Pink,100
Pioneer-12,678
PirateSmackK,666
Pizzahunks,409
PlasmaTime,468
Plek,635
Plutonium27,837
Pmlineditor,991
Poeticbent,831
Poindexter,100
Polargeo,743
Polarwolf,585
Politis,605
Pollytyred,N/A
Polynomial123,508
Ponyo,N/A
PopularMax,447
Porqin,730
Poulsen,658
Pr3st0n,454
Prav001,N/A
PresN,N/A
Pretty,N/A
Primus,N/A
PrincessWortheverything,N/A
Privatemusings,N/A
Prodigy130,N/A
ProhibitOnions,N/A
Prom3th3an,N/A
Proteus,N/A
Psb777,N/A
Pseudofusulina,N/A
Psyphics,N/A
PullToOpen,N/A
Punkmorten,N/A
Purple,N/A
Push,N/A
Pwnage8,N/A
Pzrmd,N/A
Qaddosh,N/A
Qp10qp,N/A
Quadzilla99,N/A
Quarl,N/A
Queerbubbles,N/A
Quicksandish,N/A
QuiteUnusual,N/A
Qwghlm,N/A
R,N/A
R.Koot,N/A
RC-0722,N/A
RFD,N/A
RHB,N/A
RK,N/A
RPIRED,N/A
Ra'ike,N/A
Racepacket,N/A
Raddicks,N/A
Radical,N/A
Radiopathy,N/A
Raffaelloo9,N/A
Ragib,N/A
RainbowSwirl,N/A
Ral315,N/A
Ramaksoud2000,N/A
Rami,N/A
RandalSchwartz,N/A
RandomOrca2,N/A
Randy,N/A
Rannpháirtí,N/A
Rasputin72,N/A
RattleMan,N/A
Ravenswing,N/A
Rayis,N/A
Razorflame,N/A
Rcsprinter,N/A
Reach,N/A
Realist2,N/A
Rebecca,N/A
Reconsideration,N/A
RedWolf,871
Redcountess,492
Rednblu,710
Redux,744
Reene,652
Regent,N/A
Reinis,592
